[(-14671, 1246, -7786), (-115, 316, 37)]
[(-14694, 1234, -7797), (-35, 275, 23)]
[(-14694, 1234, -7797), (-35, 275, 23)]
[(-14694, 1234, -7797), (-35, 275, 23)]
[(-14694, 1234, -7797), (-35, 275, 23)]
[(-14694, 1234, -7797), (-35, 275, 23)]
[(-14694, 1234, -7797), (-35, 275, 23)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14701, 1230, -7810), (-39, 274, 2)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14708, 1229, -7797), (-44, 289, -8)]
[(-14715, 1255, -7776), (-36, 305, 2)]
[(-14715, 1255, -7776), (-36, 305, 2)]
[(-14715, 1255, -7776), (-36, 305, 2)]
[(-14715, 1255, -7776), (-36, 305, 2)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14700, 1245, -7748), (-42, 325, 0)]
[(-14697, 1244, -7740), (-57, 327, 4)]
[(-14697, 1244, -7740), (-57, 327, 4)]
[(-14697, 1244, -7740), (-57, 327, 4)]
[(-14697, 1244, -7740), (-57, 327, 4)]
[(-14697, 1244, -7740), (-57, 327, 4)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14691, 1246, -7741), (-5, 328, 8)]
[(-14660, 1117, -7744), (3, 278, 82)]
[(-14660, 1117, -7744), (3, 278, 82)]
[(-14660, 1117, -7744), (3, 278, 82)]
[(-14660, 1117, -7744), (3, 278, 82)]
[(-14656, 1143, -7764), (-80, 282, 59)]
[(-14656, 1143, -7764), (-80, 282, 59)]
[(-14656, 1143, -7764), (-80, 282, 59)]
[(-14656, 1143, -7764), (-80, 282, 59)]
[(-14656, 1143, -7764), (-80, 282, 59)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14661, 1169, -7794), (-34, 265, 22)]
[(-14655, 1164, -7769), (121, 151, 3)]
[(-14655, 1164, -7769), (121, 151, 3)]
[(-14655, 1164, -7769), (121, 151, 3)]
[(-14655, 1164, -7769), (121, 151, 3)]
[(-14694, 1189, -7712), (-11, 73, 95)]
[(-14694, 1189, -7712), (-11, 73, 95)]
[(-14694, 1189, -7712), (-11, 73, 95)]
[(-14694, 1189, -7712), (-11, 73, 95)]
[(-14694, 1189, -7712), (-11, 73, 95)]
