[(-14528, 1121, -8120), (-13, 269, 2)]
[(-14516, 1132, -8140), (-30, 249, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14532, 1136, -8132), (-29, 257, -5)]
[(-14540, 1120, -8115), (-54, 256, -6)]
[(-14540, 1120, -8115), (-54, 256, -6)]
[(-14540, 1120, -8115), (-54, 256, -6)]
[(-14540, 1120, -8115), (-54, 256, -6)]
[(-14540, 1120, -8115), (-54, 256, -6)]
[(-14540, 1120, -8115), (-54, 256, -6)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14554, 1100, -8121), (-69, 281, -19)]
[(-14564, 1069, -8124), (189, 249, 0)]
[(-14559, 1049, -8059), (-110, 343, -5)]
[(-14559, 1049, -8059), (-110, 343, -5)]
[(-14559, 1049, -8059), (-110, 343, -5)]
[(-14559, 1049, -8059), (-110, 343, -5)]
[(-14559, 1049, -8059), (-110, 343, -5)]
[(-14559, 1049, -8059), (-110, 343, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14548, 1099, -8094), (-213, 427, -5)]
[(-14535, 1116, -8137), (-273, 368, 8)]
[(-14535, 1116, -8137), (-273, 368, 8)]
[(-14535, 1116, -8137), (-273, 368, 8)]
[(-14535, 1116, -8137), (-273, 368, 8)]
[(-14535, 1116, -8137), (-273, 368, 8)]
[(-14519, 1135, -8148), (-238, 373, -2)]
[(-14519, 1135, -8148), (-238, 373, -2)]
[(-14519, 1135, -8148), (-238, 373, -2)]
[(-14519, 1135, -8148), (-238, 373, -2)]
[(-14519, 1135, -8148), (-238, 373, -2)]
[(-14519, 1135, -8148), (-238, 373, -2)]
[(-14504, 1134, -8117), (85, 198, -10)]
[(-14504, 1134, -8117), (85, 198, -10)]
[(-14504, 1134, -8117), (85, 198, -10)]
[(-14504, 1134, -8117), (85, 198, -10)]
[(-14504, 1134, -8117), (85, 198, -10)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14503, 1080, -8112), (192, 144, 8)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14524, 1080, -8134), (166, 194, 14)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14507, 1080, -8162), (1, 265, 34)]
[(-14510, 1091, -8159), (-38, 275, 42)]
[(-14540, 1104, -8151), (-61, 261, 31)]
[(-14540, 1104, -8151), (-61, 261, 31)]
[(-14540, 1104, -8151), (-61, 261, 31)]
[(-14540, 1104, -8151), (-61, 261, 31)]
[(-14540, 1104, -8151), (-61, 261, 31)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14550, 1100, -8154), (-76, 259, 19)]
[(-14562, 1098, -8179), (-75, 279, 39)]
[(-14562, 1098, -8179), (-75, 279, 39)]
[(-14562, 1098, -8179), (-75, 279, 39)]
[(-14562, 1098, -8179), (-75, 279, 39)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14570, 1102, -8164), (-187, 252, 21)]
[(-14544, 1140, -8126), (-30, 228, 116)]
[(-14544, 1140, -8126), (-30, 228, 116)]
[(-14544, 1140, -8126), (-30, 228, 116)]
[(-14544, 1140, -8126), (-30, 228, 116)]
[(-14544, 1140, -8126), (-30, 228, 116)]
