[(-14592, 1076, -8097), (-118, 274, -16)]
[(-14580, 1092, -8081), (-122, 281, -15)]
[(-14580, 1092, -8081), (-122, 281, -15)]
[(-14580, 1092, -8081), (-122, 281, -15)]
[(-14580, 1092, -8081), (-122, 281, -15)]
[(-14580, 1092, -8081), (-122, 281, -15)]
[(-14572, 1094, -8068), (-130, 286, -20)]
[(-14572, 1094, -8068), (-130, 286, -20)]
[(-14572, 1094, -8068), (-130, 286, -20)]
[(-14572, 1094, -8068), (-130, 286, -20)]
[(-14567, 1077, -8076), (-134, 292, -19)]
[(-14567, 1077, -8076), (-134, 292, -19)]
[(-14567, 1077, -8076), (-134, 292, -19)]
[(-14567, 1077, -8076), (-134, 292, -19)]
[(-14567, 1077, -8076), (-134, 292, -19)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14577, 1087, -8070), (-133, 311, -5)]
[(-14568, 1095, -8088), (46, 286, 13)]
[(-14568, 1095, -8088), (46, 286, 13)]
[(-14568, 1095, -8088), (46, 286, 13)]
[(-14568, 1095, -8088), (46, 286, 13)]
[(-14568, 1095, -8088), (46, 286, 13)]
[(-14568, 1095, -8088), (46, 286, 13)]
[(-14494, 1052, -8202), (-347, 365, -19)]
[(-14494, 1052, -8202), (-347, 365, -19)]
[(-14494, 1052, -8202), (-347, 365, -19)]
[(-14494, 1052, -8202), (-347, 365, -19)]
[(-14494, 1052, -8202), (-347, 365, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14507, 995, -8202), (-388, 348, -19)]
[(-14512, 988, -8201), (-314, 369, -52)]
[(-14512, 988, -8201), (-314, 369, -52)]
[(-14512, 988, -8201), (-314, 369, -52)]
[(-14512, 988, -8201), (-314, 369, -52)]
[(-14512, 988, -8201), (-314, 369, -52)]
[(-14512, 988, -8201), (-314, 369, -52)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14516, 1000, -8160), (-119, 290, -31)]
[(-14539, 1019, -8128), (-237, 314, -70)]
[(-14539, 1019, -8128), (-237, 314, -70)]
[(-14539, 1019, -8128), (-237, 314, -70)]
[(-14539, 1019, -8128), (-237, 314, -70)]
[(-14539, 1019, -8128), (-237, 314, -70)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14556, 1020, -8125), (-263, 331, -59)]
[(-14568, 1014, -8105), (109, 223, 10)]
