[(-7269, 13234, -6429), (-61, 163, -9)]
[(-7173, 13370, -6455), (-63, 100, 43)]
[(-7173, 13370, -6455), (-63, 100, 43)]
[(-7129, 13500, -6479), (-59, 93, 37)]
[(-7129, 13500, -6479), (-59, 93, 37)]
[(-7129, 13500, -6479), (-59, 93, 37)]
[(-7129, 13500, -6479), (-59, 93, 37)]
[(-7129, 13500, -6479), (-59, 93, 37)]
[(-7129, 13500, -6479), (-59, 93, 37)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-7036, 13617, -6461), (-55, 93, 15)]
[(-6948, 13708, -6454), (-57, 89, 7)]
[(-6948, 13708, -6454), (-57, 89, 7)]
[(-6948, 13708, -6454), (-57, 89, 7)]
[(-6948, 13708, -6454), (-57, 89, 7)]
[(-6948, 13708, -6454), (-57, 89, 7)]
[(-6948, 13708, -6454), (-57, 89, 7)]
[(-6936, 13761, -6504), (-45, 73, 21)]
[(-6936, 13761, -6504), (-45, 73, 21)]
[(-6936, 13761, -6504), (-45, 73, 21)]
[(-6936, 13761, -6504), (-45, 73, 21)]
[(-6936, 13761, -6504), (-45, 73, 21)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6967, 13825, -6422), (-48, 56, 4)]
[(-6929, 13844, -6361), (-42, 56, 0)]
[(-6929, 13844, -6361), (-42, 56, 0)]
[(-6929, 13844, -6361), (-42, 56, 0)]
[(-6929, 13844, -6361), (-42, 56, 0)]
[(-6929, 13844, -6361), (-42, 56, 0)]
[(-6929, 13844, -6361), (-42, 56, 0)]
[(-6658, 13750, -6654), (-35, 22, -12)]
[(-6658, 13750, -6654), (-35, 22, -12)]
[(-6658, 13750, -6654), (-35, 22, -12)]
[(-6658, 13750, -6654), (-35, 22, -12)]
[(-6658, 13750, -6654), (-35, 22, -12)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6703, 13735, -6563), (-44, 22, -17)]
[(-6719, 13774, -6537), (-36, 40, -17)]
[(-6719, 13774, -6537), (-36, 40, -17)]
[(-6719, 13774, -6537), (-36, 40, -17)]
[(-6719, 13774, -6537), (-36, 40, -17)]
[(-6719, 13774, -6537), (-36, 40, -17)]
[(-6719, 13774, -6537), (-36, 40, -17)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6842, 13774, -6388), (-49, 52, -23)]
[(-6921, 13802, -6323), (-37, 61, -24)]
[(-6921, 13802, -6323), (-37, 61, -24)]
[(-6921, 13802, -6323), (-37, 61, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6965, 13831, -6272), (-34, 50, -24)]
[(-6999, 13879, -6251), (-35, 56, -20)]
[(-6999, 13879, -6251), (-35, 56, -20)]
[(-6999, 13879, -6251), (-35, 56, -20)]
[(-6999, 13879, -6251), (-35, 56, -20)]
[(-6999, 13879, -6251), (-35, 56, -20)]
[(-6999, 13879, -6251), (-35, 56, -20)]
[(-7034, 13894, -6231), (-38, 57, -25)]
[(-7034, 13894, -6231), (-38, 57, -25)]
[(-7034, 13894, -6231), (-38, 57, -25)]
[(-7034, 13894, -6231), (-38, 57, -25)]
[(-7034, 13894, -6231), (-38, 57, -25)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7058, 13874, -6237), (-39, 37, -23)]
[(-7068, 13844, -6236), (-42, 31, -38)]
[(-7068, 13844, -6236), (-42, 31, -38)]
[(-7068, 13844, -6236), (-42, 31, -38)]
[(-7068, 13844, -6236), (-42, 31, -38)]
[(-7068, 13844, -6236), (-42, 31, -38)]
[(-7347, 13691, -5777), (232, -151, -99)]
[(-7347, 13691, -5777), (232, -151, -99)]
[(-7347, 13691, -5777), (232, -151, -99)]
