[(-7429, 13793, -5940), (-59, 51, 34)]
[(-7357, 13803, -5878), (-56, 69, 20)]
[(-7357, 13803, -5878), (-56, 69, 20)]
[(-7357, 13803, -5878), (-56, 69, 20)]
[(-7392, 13772, -5794), (-27, 47, 27)]
[(-7392, 13772, -5794), (-27, 47, 27)]
[(-7392, 13772, -5794), (-27, 47, 27)]
[(-7392, 13772, -5794), (-27, 47, 27)]
[(-7392, 13772, -5794), (-27, 47, 27)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7400, 13820, -5802), (-18, 46, 18)]
[(-7386, 13812, -5804), (-19, 45, 2)]
[(-7386, 13812, -5804), (-19, 45, 2)]
[(-7386, 13812, -5804), (-19, 45, 2)]
[(-7386, 13812, -5804), (-19, 45, 2)]
[(-7386, 13812, -5804), (-19, 45, 2)]
[(-7412, 13768, -5787), (-15, 46, 1)]
[(-7412, 13768, -5787), (-15, 46, 1)]
[(-7412, 13768, -5787), (-15, 46, 1)]
[(-7412, 13768, -5787), (-15, 46, 1)]
[(-7412, 13768, -5787), (-15, 46, 1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7453, 13804, -5751), (-13, 47, -1)]
[(-7412, 13736, -5646), (7, 17, -18)]
[(-7412, 13736, -5646), (7, 17, -18)]
[(-7412, 13736, -5646), (7, 17, -18)]
[(-7412, 13736, -5646), (7, 17, -18)]
[(-7412, 13736, -5646), (7, 17, -18)]
[(-7507, 13711, -5629), (12, 26, -26)]
[(-7507, 13711, -5629), (12, 26, -26)]
[(-7507, 13711, -5629), (12, 26, -26)]
[(-7507, 13711, -5629), (12, 26, -26)]
[(-7507, 13711, -5629), (12, 26, -26)]
[(-7531, 13718, -5574), (9, 69, -25)]
[(-7531, 13718, -5574), (9, 69, -25)]
[(-7531, 13718, -5574), (9, 69, -25)]
[(-7531, 13718, -5574), (9, 69, -25)]
[(-7531, 13718, -5574), (9, 69, -25)]
[(-7531, 13718, -5574), (9, 69, -25)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7554, 13722, -5584), (-3, 67, -30)]
[(-7593, 13721, -5584), (-12, 81, -32)]
[(-7593, 13721, -5584), (-12, 81, -32)]
[(-7593, 13721, -5584), (-12, 81, -32)]
[(-7593, 13721, -5584), (-12, 81, -32)]
[(-7593, 13721, -5584), (-12, 81, -32)]
[(-7576, 13756, -5620), (-5, 82, -16)]
[(-7576, 13756, -5620), (-5, 82, -16)]
[(-7576, 13756, -5620), (-5, 82, -16)]
[(-7576, 13756, -5620), (-5, 82, -16)]
[(-7576, 13756, -5620), (-5, 82, -16)]
[(-7576, 13756, -5620), (-5, 82, -16)]
[(-7585, 13792, -5657), (2, 74, -21)]
[(-7585, 13792, -5657), (2, 74, -21)]
[(-7585, 13792, -5657), (2, 74, -21)]
[(-7585, 13792, -5657), (2, 74, -21)]
[(-7585, 13792, -5657), (2, 74, -21)]
[(-7585, 13792, -5657), (2, 74, -21)]
[(-7603, 13732, -5650), (5, 65, -21)]
[(-7603, 13732, -5650), (5, 65, -21)]
[(-7603, 13732, -5650), (5, 65, -21)]
[(-7603, 13732, -5650), (5, 65, -21)]
[(-7603, 13732, -5650), (5, 65, -21)]
[(-7650, 13714, -5661), (-15, 73, -21)]
[(-7650, 13714, -5661), (-15, 73, -21)]
[(-7650, 13714, -5661), (-15, 73, -21)]
[(-7650, 13714, -5661), (-15, 73, -21)]
[(-7650, 13714, -5661), (-15, 73, -21)]
[(-7650, 13714, -5661), (-15, 73, -21)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7685, 13669, -5684), (-36, 84, -17)]
[(-7778, 13959, -5760), (-136, 284, -285)]
[(-7778, 13959, -5760), (-136, 284, -285)]
[(-7778, 13959, -5760), (-136, 284, -285)]
[(-7778, 13959, -5760), (-136, 284, -285)]
[(-7778, 13959, -5760), (-136, 284, -285)]
