[(-7847, 13394, -6172), (-4, 202, 11)]
[(-7846, 13443, -6167), (-3, 200, 3)]
[(-7846, 13443, -6167), (-3, 200, 3)]
[(-7846, 13443, -6167), (-3, 200, 3)]
[(-7846, 13443, -6167), (-3, 200, 3)]
[(-7846, 13443, -6167), (-3, 200, 3)]
[(-7875, 13424, -6168), (-4, 200, 1)]
[(-7875, 13424, -6168), (-4, 200, 1)]
[(-7875, 13424, -6168), (-4, 200, 1)]
[(-7875, 13424, -6168), (-4, 200, 1)]
[(-7875, 13424, -6168), (-4, 200, 1)]
[(-7842, 13436, -6168), (-8, 221, -8)]
[(-7842, 13436, -6168), (-8, 221, -8)]
[(-7842, 13436, -6168), (-8, 221, -8)]
[(-7842, 13436, -6168), (-8, 221, -8)]
[(-7842, 13436, -6168), (-8, 221, -8)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7997, 13416, -5943), (10, 159, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-7945, 13365, -5935), (-3, 181, -14)]
[(-8021, 13358, -5880), (9, 246, -13)]
[(-8021, 13358, -5880), (9, 246, -13)]
[(-8021, 13358, -5880), (9, 246, -13)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8024, 13373, -5884), (4, 250, -17)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8020, 13394, -5882), (10, 257, -18)]
[(-8055, 13386, -5899), (6, 254, -20)]
[(-8055, 13386, -5899), (6, 254, -20)]
[(-8055, 13386, -5899), (6, 254, -20)]
[(-8056, 13380, -5931), (2, 256, -23)]
[(-8056, 13380, -5931), (2, 256, -23)]
[(-8056, 13380, -5931), (2, 256, -23)]
[(-8056, 13380, -5931), (2, 256, -23)]
[(-8056, 13380, -5931), (2, 256, -23)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8160, 13249, -5903), (-84, 339, -72)]
[(-8237, 13264, -5917), (-68, 310, -80)]
[(-8237, 13264, -5917), (-68, 310, -80)]
[(-8237, 13264, -5917), (-68, 310, -80)]
[(-8237, 13264, -5917), (-68, 310, -80)]
[(-8237, 13264, -5917), (-68, 310, -80)]
[(-8324, 13262, -5924), (-125, 375, -118)]
[(-8324, 13262, -5924), (-125, 375, -118)]
[(-8324, 13262, -5924), (-125, 375, -118)]
[(-8324, 13262, -5924), (-125, 375, -118)]
[(-8324, 13262, -5924), (-125, 375, -118)]
[(-8324, 13262, -5924), (-125, 375, -118)]
[(-8254, 13228, -6064), (2, 259, -188)]
[(-8254, 13228, -6064), (2, 259, -188)]
[(-8254, 13228, -6064), (2, 259, -188)]
[(-8254, 13228, -6064), (2, 259, -188)]
[(-8254, 13228, -6064), (2, 259, -188)]
