[(-3744, 15541, -5140), (-1, 2, -106)]
[(-3764, 15565, -5146), (-1, 2, -106)]
[(-3764, 15565, -5146), (-1, 2, -106)]
[(-3764, 15565, -5146), (-1, 2, -106)]
[(-3764, 15565, -5146), (-1, 2, -106)]
[(-3764, 15565, -5146), (-1, 2, -106)]
[(-3764, 15565, -5146), (-1, 2, -106)]
[(-3764, 15544, -5124), (-1, 1, -107)]
[(-3764, 15544, -5124), (-1, 1, -107)]
[(-3764, 15544, -5124), (-1, 1, -107)]
[(-3764, 15544, -5124), (-1, 1, -107)]
[(-3764, 15544, -5124), (-1, 1, -107)]
[(-3762, 15553, -5089), (-2, 0, -107)]
[(-3762, 15553, -5089), (-2, 0, -107)]
[(-3762, 15553, -5089), (-2, 0, -107)]
[(-3762, 15553, -5089), (-2, 0, -107)]
[(-3762, 15553, -5089), (-2, 0, -107)]
[(-3762, 15553, -5089), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3730, 15522, -5031), (-2, 0, -107)]
[(-3673, 15532, -5020), (-2, 0, -107)]
[(-3673, 15532, -5020), (-2, 0, -107)]
[(-3673, 15532, -5020), (-2, 0, -107)]
[(-3673, 15532, -5020), (-2, 0, -107)]
[(-3673, 15532, -5020), (-2, 0, -107)]
[(-3635, 15503, -5040), (-3, 0, -106)]
[(-3635, 15503, -5040), (-3, 0, -106)]
[(-3635, 15503, -5040), (-3, 0, -106)]
[(-3635, 15503, -5040), (-3, 0, -106)]
[(-3635, 15503, -5040), (-3, 0, -106)]
[(-3635, 15503, -5040), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3658, 15516, -4993), (-3, 0, -106)]
[(-3720, 15589, -4920), (-2, 0, -105)]
[(-3720, 15589, -4920), (-2, 0, -105)]
[(-3720, 15589, -4920), (-2, 0, -105)]
[(-3720, 15589, -4920), (-2, 0, -105)]
[(-3720, 15589, -4920), (-2, 0, -105)]
[(-3666, 15612, -4939), (-1, 0, -105)]
[(-3666, 15612, -4939), (-1, 0, -105)]
[(-3666, 15612, -4939), (-1, 0, -105)]
[(-3666, 15612, -4939), (-1, 0, -105)]
[(-3666, 15612, -4939), (-1, 0, -105)]
[(-3666, 15612, -4939), (-1, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3708, 15564, -5078), (-2, 0, -105)]
[(-3719, 15571, -5102), (-2, 1, -106)]
[(-3719, 15571, -5102), (-2, 1, -106)]
[(-3719, 15571, -5102), (-2, 1, -106)]
[(-3664, 15554, -5082), (-2, 1, -107)]
[(-3664, 15554, -5082), (-2, 1, -107)]
[(-3664, 15554, -5082), (-2, 1, -107)]
[(-3664, 15554, -5082), (-2, 1, -107)]
[(-3664, 15554, -5082), (-2, 1, -107)]
[(-3664, 15554, -5082), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3702, 15549, -5080), (-2, 1, -107)]
[(-3677, 15580, -5027), (-2, 1, -107)]
[(-3677, 15580, -5027), (-2, 1, -107)]
[(-3677, 15580, -5027), (-2, 1, -107)]
[(-3688, 15576, -4976), (-3, 3, -106)]
[(-3688, 15576, -4976), (-3, 3, -106)]
[(-3688, 15576, -4976), (-3, 3, -106)]
[(-3688, 15576, -4976), (-3, 3, -106)]
