[(-3585, 15277, -5860), (-8, 77, 36)]
[(-3536, 15281, -5991), (-1, 61, 25)]
[(-3536, 15281, -5991), (-1, 61, 25)]
[(-3536, 15281, -5991), (-1, 61, 25)]
[(-3536, 15281, -5991), (-1, 61, 25)]
[(-3536, 15281, -5991), (-1, 61, 25)]
[(-3536, 15281, -5991), (-1, 61, 25)]
[(-3508, 15326, -6033), (-2, 62, 19)]
[(-3508, 15326, -6033), (-2, 62, 19)]
[(-3508, 15326, -6033), (-2, 62, 19)]
[(-3508, 15326, -6033), (-2, 62, 19)]
[(-3508, 15326, -6033), (-2, 62, 19)]
[(-3424, 15272, -6128), (-13, 60, -5)]
[(-3424, 15272, -6128), (-13, 60, -5)]
[(-3424, 15272, -6128), (-13, 60, -5)]
[(-3424, 15272, -6128), (-13, 60, -5)]
[(-3424, 15272, -6128), (-13, 60, -5)]
[(-3424, 15272, -6128), (-13, 60, -5)]
[(-3418, 15291, -6064), (-24, 46, -17)]
[(-3418, 15291, -6064), (-24, 46, -17)]
[(-3418, 15291, -6064), (-24, 46, -17)]
[(-3418, 15291, -6064), (-24, 46, -17)]
[(-3418, 15291, -6064), (-24, 46, -17)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3467, 15308, -6058), (-21, 33, -7)]
[(-3460, 15294, -6080), (-11, 33, -1)]
[(-3460, 15294, -6080), (-11, 33, -1)]
[(-3460, 15294, -6080), (-11, 33, -1)]
[(-3460, 15294, -6080), (-11, 33, -1)]
[(-3460, 15294, -6080), (-11, 33, -1)]
[(-3460, 15294, -6080), (-11, 33, -1)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3463, 15271, -6096), (19, 44, 15)]
[(-3430, 15266, -6129), (15, 37, 19)]
[(-3430, 15266, -6129), (15, 37, 19)]
[(-3430, 15266, -6129), (15, 37, 19)]
[(-3430, 15266, -6129), (15, 37, 19)]
[(-3430, 15266, -6129), (15, 37, 19)]
[(-3430, 15266, -6129), (15, 37, 19)]
[(-3431, 15236, -6198), (0, 51, 10)]
[(-3431, 15236, -6198), (0, 51, 10)]
[(-3431, 15236, -6198), (0, 51, 10)]
[(-3431, 15236, -6198), (0, 51, 10)]
[(-3431, 15236, -6198), (0, 51, 10)]
[(-3388, 15232, -6177), (-26, 44, -1)]
[(-3388, 15232, -6177), (-26, 44, -1)]
[(-3388, 15232, -6177), (-26, 44, -1)]
[(-3388, 15232, -6177), (-26, 44, -1)]
[(-3388, 15232, -6177), (-26, 44, -1)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3372, 15268, -6244), (-75, 43, -20)]
[(-3415, 15309, -6072), (-141, 75, -78)]
[(-3415, 15309, -6072), (-141, 75, -78)]
[(-3415, 15309, -6072), (-141, 75, -78)]
[(-3415, 15309, -6072), (-141, 75, -78)]
[(-3415, 15309, -6072), (-141, 75, -78)]
[(-3415, 15309, -6072), (-141, 75, -78)]
[(-3535, 15288, -5792), (-138, 91, -189)]
[(-3535, 15288, -5792), (-138, 91, -189)]
[(-3535, 15288, -5792), (-138, 91, -189)]
[(-3535, 15288, -5792), (-138, 91, -189)]
[(-3535, 15288, -5792), (-138, 91, -189)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-3743, 15316, -5597), (-117, 88, -177)]
[(-4030, 15323, -5458), (-119, 65, -184)]
[(-4030, 15323, -5458), (-119, 65, -184)]
[(-4030, 15323, -5458), (-119, 65, -184)]
[(-4030, 15323, -5458), (-119, 65, -184)]
[(-4030, 15323, -5458), (-119, 65, -184)]
[(-4216, 15300, -5247), (-72, -14, -183)]
[(-4216, 15300, -5247), (-72, -14, -183)]
[(-4216, 15300, -5247), (-72, -14, -183)]
[(-4216, 15300, -5247), (-72, -14, -183)]
[(-4216, 15300, -5247), (-72, -14, -183)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4590, 15147, -5134), (76, -137, -206)]
[(-4885, 15027, -5179), (92, -133, -176)]
[(-4885, 15027, -5179), (92, -133, -176)]
[(-4885, 15027, -5179), (92, -133, -176)]
[(-4885, 15027, -5179), (92, -133, -176)]
[(-4885, 15027, -5179), (92, -133, -176)]
[(-4885, 15027, -5179), (92, -133, -176)]
[(-5202, 14952, -5412), (203, -288, -145)]
[(-5202, 14952, -5412), (203, -288, -145)]
[(-5202, 14952, -5412), (203, -288, -145)]
[(-5202, 14952, -5412), (203, -288, -145)]
[(-5202, 14952, -5412), (203, -288, -145)]
[(-5572, 14995, -5567), (117, -275, -71)]
[(-5572, 14995, -5567), (117, -275, -71)]
[(-5572, 14995, -5567), (117, -275, -71)]
[(-5572, 14995, -5567), (117, -275, -71)]
[(-5572, 14995, -5567), (117, -275, -71)]
[(-5572, 14995, -5567), (117, -275, -71)]
