[(-6493, 14127, -6535), (-54, 60, 0)]
[(-6440, 14144, -6508), (-50, 64, 8)]
[(-6440, 14144, -6508), (-50, 64, 8)]
[(-6440, 14144, -6508), (-50, 64, 8)]
[(-6440, 14144, -6508), (-50, 64, 8)]
[(-6440, 14144, -6508), (-50, 64, 8)]
[(-6440, 14144, -6508), (-50, 64, 8)]
[(-6408, 14133, -6486), (-37, 52, 6)]
[(-6408, 14133, -6486), (-37, 52, 6)]
[(-6408, 14133, -6486), (-37, 52, 6)]
[(-6408, 14133, -6486), (-37, 52, 6)]
[(-6408, 14133, -6486), (-37, 52, 6)]
[(-6408, 14133, -6486), (-37, 52, 6)]
[(-6405, 14156, -6467), (-39, 54, 3)]
[(-6405, 14156, -6467), (-39, 54, 3)]
[(-6405, 14156, -6467), (-39, 54, 3)]
[(-6405, 14156, -6467), (-39, 54, 3)]
[(-6405, 14156, -6467), (-39, 54, 3)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6367, 14133, -6465), (-24, 69, -8)]
[(-6448, 14164, -6424), (-3, 73, -18)]
[(-6448, 14164, -6424), (-3, 73, -18)]
[(-6448, 14164, -6424), (-3, 73, -18)]
[(-6448, 14164, -6424), (-3, 73, -18)]
[(-6448, 14164, -6424), (-3, 73, -18)]
[(-6448, 14164, -6424), (-3, 73, -18)]
[(-6444, 14119, -6484), (53, 115, -13)]
[(-6444, 14119, -6484), (53, 115, -13)]
[(-6444, 14119, -6484), (53, 115, -13)]
[(-6444, 14119, -6484), (53, 115, -13)]
[(-6444, 14119, -6484), (53, 115, -13)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6421, 13996, -6570), (32, 101, -1)]
[(-6410, 13968, -6543), (21, 89, -6)]
[(-6410, 13968, -6543), (21, 89, -6)]
[(-6410, 13968, -6543), (21, 89, -6)]
[(-6410, 13968, -6543), (21, 89, -6)]
[(-6410, 13968, -6543), (21, 89, -6)]
[(-6410, 13968, -6543), (21, 89, -6)]
[(-6436, 13949, -6556), (13, 77, -4)]
[(-6436, 13949, -6556), (13, 77, -4)]
[(-6436, 13949, -6556), (13, 77, -4)]
[(-6436, 13949, -6556), (13, 77, -4)]
[(-6436, 13949, -6556), (13, 77, -4)]
[(-6441, 13956, -6586), (-29, 34, -1)]
[(-6441, 13956, -6586), (-29, 34, -1)]
[(-6441, 13956, -6586), (-29, 34, -1)]
[(-6441, 13956, -6586), (-29, 34, -1)]
