[(-7508, 13888, -5296), (-22, 33, 39)]
[(-7488, 13883, -5288), (-23, 27, 21)]
[(-7488, 13883, -5288), (-23, 27, 21)]
[(-7488, 13883, -5288), (-23, 27, 21)]
[(-7466, 13928, -5180), (-70, 2, 3)]
[(-7466, 13928, -5180), (-70, 2, 3)]
[(-7466, 13928, -5180), (-70, 2, 3)]
[(-7466, 13928, -5180), (-70, 2, 3)]
[(-7466, 13928, -5180), (-70, 2, 3)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7486, 13942, -5036), (-87, -41, 12)]
[(-7493, 14008, -4846), (1, -61, 43)]
[(-7493, 14008, -4846), (1, -61, 43)]
[(-7493, 14008, -4846), (1, -61, 43)]
[(-7493, 14008, -4846), (1, -61, 43)]
[(-7493, 14008, -4846), (1, -61, 43)]
[(-7493, 14058, -4780), (11, -61, 45)]
[(-7493, 14058, -4780), (11, -61, 45)]
[(-7493, 14058, -4780), (11, -61, 45)]
[(-7493, 14058, -4780), (11, -61, 45)]
[(-7493, 14058, -4780), (11, -61, 45)]
[(-7493, 14058, -4780), (11, -61, 45)]
[(-7448, 14087, -4745), (3, -47, 47)]
[(-7448, 14087, -4745), (3, -47, 47)]
[(-7448, 14087, -4745), (3, -47, 47)]
[(-7448, 14087, -4745), (3, -47, 47)]
[(-7448, 14087, -4745), (3, -47, 47)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7335, 14157, -4626), (-64, -33, 15)]
[(-7358, 14170, -4534), (-67, 12, -6)]
[(-7358, 14170, -4534), (-67, 12, -6)]
[(-7358, 14170, -4534), (-67, 12, -6)]
[(-7358, 14170, -4534), (-67, 12, -6)]
[(-7358, 14170, -4534), (-67, 12, -6)]
[(-7358, 14170, -4534), (-67, 12, -6)]
[(-7384, 14196, -4504), (-32, 40, -2)]
[(-7384, 14196, -4504), (-32, 40, -2)]
[(-7384, 14196, -4504), (-32, 40, -2)]
[(-7384, 14196, -4504), (-32, 40, -2)]
[(-7384, 14196, -4504), (-32, 40, -2)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7396, 14188, -4507), (-10, 56, 0)]
[(-7400, 14171, -4532), (0, 76, -7)]
[(-7400, 14171, -4532), (0, 76, -7)]
[(-7400, 14171, -4532), (0, 76, -7)]
[(-7400, 14171, -4532), (0, 76, -7)]
[(-7400, 14171, -4532), (0, 76, -7)]
[(-7400, 14171, -4532), (0, 76, -7)]
[(-7376, 14192, -4562), (11, 79, 0)]
[(-7376, 14192, -4562), (11, 79, 0)]
[(-7376, 14192, -4562), (11, 79, 0)]
[(-7376, 14192, -4562), (11, 79, 0)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7361, 14174, -4636), (12, 78, 1)]
[(-7400, 14132, -4688), (-7, 105, -26)]
[(-7400, 14132, -4688), (-7, 105, -26)]
[(-7400, 14132, -4688), (-7, 105, -26)]
[(-7400, 14132, -4688), (-7, 105, -26)]
[(-7400, 14132, -4688), (-7, 105, -26)]
[(-7400, 14132, -4688), (-7, 105, -26)]
[(-7403, 14120, -4747), (-20, 118, -29)]
[(-7403, 14120, -4747), (-20, 118, -29)]
[(-7403, 14120, -4747), (-20, 118, -29)]
[(-7403, 14120, -4747), (-20, 118, -29)]
[(-7403, 14120, -4747), (-20, 118, -29)]
[(-7415, 14111, -4829), (-90, 225, -95)]
[(-7415, 14111, -4829), (-90, 225, -95)]
[(-7415, 14111, -4829), (-90, 225, -95)]
[(-7415, 14111, -4829), (-90, 225, -95)]
