[(-8128, 14021, -3298), (7, 36, 41)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8087, 14000, -3312), (0, 39, 30)]
[(-8055, 14028, -3327), (-1, 51, 22)]
[(-8055, 14028, -3327), (-1, 51, 22)]
[(-8055, 14028, -3327), (-1, 51, 22)]
[(-8055, 14028, -3327), (-1, 51, 22)]
[(-8055, 14028, -3327), (-1, 51, 22)]
[(-8055, 14028, -3327), (-1, 51, 22)]
[(-8040, 14008, -3329), (-5, 47, 17)]
[(-8040, 14008, -3329), (-5, 47, 17)]
[(-8040, 14008, -3329), (-5, 47, 17)]
[(-8040, 14008, -3329), (-5, 47, 17)]
[(-8040, 14008, -3329), (-5, 47, 17)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7973, 14050, -3311), (-33, 39, 16)]
[(-7962, 14069, -3288), (-41, 57, 15)]
[(-7962, 14069, -3288), (-41, 57, 15)]
[(-7962, 14069, -3288), (-41, 57, 15)]
[(-7962, 14069, -3288), (-41, 57, 15)]
[(-7962, 14069, -3288), (-41, 57, 15)]
[(-7962, 14069, -3288), (-41, 57, 15)]
[(-8032, 14116, -3118), (-123, 14, 8)]
[(-8032, 14116, -3118), (-123, 14, 8)]
[(-8032, 14116, -3118), (-123, 14, 8)]
[(-8032, 14116, -3118), (-123, 14, 8)]
[(-8032, 14116, -3118), (-123, 14, 8)]
[(-8032, 14116, -3118), (-123, 14, 8)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7925, 14138, -3104), (-51, -24, 27)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7864, 14201, -3009), (-46, -28, 20)]
[(-7813, 14210, -2913), (-40, -12, 15)]
[(-7813, 14210, -2913), (-40, -12, 15)]
[(-7813, 14210, -2913), (-40, -12, 15)]
[(-7813, 14210, -2913), (-40, -12, 15)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7825, 14199, -2908), (-62, 0, -9)]
[(-7792, 14184, -2894), (-44, 40, -35)]
[(-7792, 14184, -2894), (-44, 40, -35)]
[(-7792, 14184, -2894), (-44, 40, -35)]
[(-7792, 14184, -2894), (-44, 40, -35)]
[(-7792, 14184, -2894), (-44, 40, -35)]
[(-7922, 14156, -2931), (-30, 70, -58)]
[(-7922, 14156, -2931), (-30, 70, -58)]
[(-7922, 14156, -2931), (-30, 70, -58)]
[(-7922, 14156, -2931), (-30, 70, -58)]
[(-7922, 14156, -2931), (-30, 70, -58)]
[(-7922, 14156, -2931), (-30, 70, -58)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8050, 14096, -2988), (-24, 85, -63)]
[(-8151, 14036, -3060), (-5, 77, -50)]
[(-8151, 14036, -3060), (-5, 77, -50)]
[(-8151, 14036, -3060), (-5, 77, -50)]
[(-8151, 14036, -3060), (-5, 77, -50)]
[(-8151, 14036, -3060), (-5, 77, -50)]
[(-8256, 13964, -3046), (-9, 86, -46)]
[(-8256, 13964, -3046), (-9, 86, -46)]
[(-8256, 13964, -3046), (-9, 86, -46)]
[(-8256, 13964, -3046), (-9, 86, -46)]
[(-8256, 13964, -3046), (-9, 86, -46)]
[(-8263, 13932, -3087), (-18, 94, -45)]
[(-8263, 13932, -3087), (-18, 94, -45)]
[(-8263, 13932, -3087), (-18, 94, -45)]
[(-8263, 13932, -3087), (-18, 94, -45)]
[(-8263, 13932, -3087), (-18, 94, -45)]
[(-8263, 13932, -3087), (-18, 94, -45)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8351, 13877, -3102), (-22, 90, -39)]
[(-8428, 13808, -3168), (-48, 113, -41)]
[(-8428, 13808, -3168), (-48, 113, -41)]
[(-8428, 13808, -3168), (-48, 113, -41)]
[(-8428, 13808, -3168), (-48, 113, -41)]
[(-8428, 13808, -3168), (-48, 113, -41)]
[(-8480, 13755, -3100), (-126, 225, -67)]
[(-8480, 13755, -3100), (-126, 225, -67)]
[(-8480, 13755, -3100), (-126, 225, -67)]
[(-8480, 13755, -3100), (-126, 225, -67)]
[(-8480, 13755, -3100), (-126, 225, -67)]
