[(-9867, 12540, -4663), (-799, 36, 744)]
[(-9866, 12521, -4689), (-696, 43, 618)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9862, 12501, -4632), (-568, 32, 501)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9904, 12458, -4606), (-463, 24, 415)]
[(-9925, 12478, -4528), (-376, 13, 342)]
[(-9925, 12478, -4528), (-376, 13, 342)]
[(-9925, 12478, -4528), (-376, 13, 342)]
[(-9979, 12474, -4426), (-307, 7, 258)]
[(-9979, 12474, -4426), (-307, 7, 258)]
[(-9979, 12474, -4426), (-307, 7, 258)]
[(-9979, 12474, -4426), (-307, 7, 258)]
[(-9979, 12474, -4426), (-307, 7, 258)]
[(-9979, 12474, -4426), (-307, 7, 258)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10020, 12469, -4358), (-247, 12, 180)]
[(-10036, 12456, -4300), (-196, 11, 117)]
[(-10036, 12456, -4300), (-196, 11, 117)]
[(-10036, 12456, -4300), (-196, 11, 117)]
[(-10036, 12456, -4300), (-196, 11, 117)]
[(-10036, 12456, -4300), (-196, 11, 117)]
[(-10000, 12524, -4448), (-156, -11, 67)]
[(-10000, 12524, -4448), (-156, -11, 67)]
[(-10000, 12524, -4448), (-156, -11, 67)]
[(-10000, 12524, -4448), (-156, -11, 67)]
[(-10000, 12524, -4448), (-156, -11, 67)]
[(-10000, 12524, -4448), (-156, -11, 67)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9968, 12510, -4327), (-123, 4, 27)]
[(-9984, 12516, -4299), (-98, 5, -3)]
[(-9984, 12516, -4299), (-98, 5, -3)]
[(-9984, 12516, -4299), (-98, 5, -3)]
[(-9984, 12516, -4299), (-98, 5, -3)]
[(-9984, 12516, -4299), (-98, 5, -3)]
[(-9966, 12539, -4274), (-77, 11, -28)]
[(-9966, 12539, -4274), (-77, 11, -28)]
[(-9966, 12539, -4274), (-77, 11, -28)]
[(-9966, 12539, -4274), (-77, 11, -28)]
[(-9966, 12539, -4274), (-77, 11, -28)]
[(-9966, 12539, -4274), (-77, 11, -28)]
[(-9952, 12520, -4253), (-56, 15, -30)]
[(-9952, 12520, -4253), (-56, 15, -30)]
