[(-8684, 13098, -5638), (-36, 39, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8661, 13119, -5623), (-35, 42, -6)]
[(-8649, 13112, -5612), (-40, 46, -8)]
[(-8649, 13112, -5612), (-40, 46, -8)]
[(-8649, 13112, -5612), (-40, 46, -8)]
[(-8649, 13112, -5612), (-40, 46, -8)]
[(-8649, 13112, -5612), (-40, 46, -8)]
[(-8612, 13080, -5608), (-24, 42, 1)]
[(-8612, 13080, -5608), (-24, 42, 1)]
[(-8612, 13080, -5608), (-24, 42, 1)]
[(-8612, 13080, -5608), (-24, 42, 1)]
[(-8612, 13080, -5608), (-24, 42, 1)]
[(-8612, 13080, -5608), (-24, 42, 1)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8643, 13073, -5631), (-16, 51, 0)]
[(-8639, 13057, -5629), (-21, 52, -5)]
[(-8639, 13057, -5629), (-21, 52, -5)]
[(-8639, 13057, -5629), (-21, 52, -5)]
[(-8651, 13075, -5628), (-19, 51, -4)]
[(-8651, 13075, -5628), (-19, 51, -4)]
[(-8651, 13075, -5628), (-19, 51, -4)]
[(-8651, 13075, -5628), (-19, 51, -4)]
[(-8651, 13075, -5628), (-19, 51, -4)]
[(-8651, 13075, -5628), (-19, 51, -4)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8632, 13102, -5636), (3, 53, 5)]
[(-8856, 13204, -5578), (-33, -14, 2)]
[(-8856, 13204, -5578), (-33, -14, 2)]
[(-8856, 13204, -5578), (-33, -14, 2)]
[(-8856, 13204, -5578), (-33, -14, 2)]
[(-8856, 13204, -5578), (-33, -14, 2)]
[(-8826, 13191, -5543), (-15, 39, 0)]
[(-8826, 13191, -5543), (-15, 39, 0)]
[(-8826, 13191, -5543), (-15, 39, 0)]
[(-8826, 13191, -5543), (-15, 39, 0)]
[(-8826, 13191, -5543), (-15, 39, 0)]
[(-8826, 13191, -5543), (-15, 39, 0)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8763, 13180, -5525), (-10, 41, -2)]
[(-8700, 13206, -5569), (-26, 58, -9)]
[(-8700, 13206, -5569), (-26, 58, -9)]
[(-8700, 13206, -5569), (-26, 58, -9)]
[(-8700, 13206, -5569), (-26, 58, -9)]
[(-8700, 13206, -5569), (-26, 58, -9)]
[(-8670, 13188, -5556), (-39, 64, -18)]
[(-8670, 13188, -5556), (-39, 64, -18)]
[(-8670, 13188, -5556), (-39, 64, -18)]
[(-8670, 13188, -5556), (-39, 64, -18)]
[(-8670, 13188, -5556), (-39, 64, -18)]
[(-8670, 13188, -5556), (-39, 64, -18)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8676, 13185, -5519), (-39, 61, -2)]
[(-8644, 13190, -5529), (-33, 70, -8)]
[(-8644, 13190, -5529), (-33, 70, -8)]
[(-8644, 13190, -5529), (-33, 70, -8)]
[(-8644, 13190, -5529), (-33, 70, -8)]
[(-8644, 13190, -5529), (-33, 70, -8)]
[(-8636, 13196, -5524), (-26, 67, -6)]
[(-8636, 13196, -5524), (-26, 67, -6)]
[(-8636, 13196, -5524), (-26, 67, -6)]
[(-8636, 13196, -5524), (-26, 67, -6)]
[(-8636, 13196, -5524), (-26, 67, -6)]
[(-8636, 13196, -5524), (-26, 67, -6)]
[(-8585, 13201, -5568), (-24, 71, -7)]
[(-8585, 13201, -5568), (-24, 71, -7)]
[(-8585, 13201, -5568), (-24, 71, -7)]
[(-8585, 13201, -5568), (-24, 71, -7)]
[(-8585, 13201, -5568), (-24, 71, -7)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8620, 13167, -5558), (-36, 71, -14)]
[(-8610, 13163, -5556), (-66, 84, -11)]
[(-8610, 13163, -5556), (-66, 84, -11)]
[(-8610, 13163, -5556), (-66, 84, -11)]
[(-8610, 13163, -5556), (-66, 84, -11)]
[(-8610, 13163, -5556), (-66, 84, -11)]
[(-8610, 13163, -5556), (-66, 84, -11)]
[(-8603, 13176, -5567), (-43, 101, -14)]
[(-8603, 13176, -5567), (-43, 101, -14)]
[(-8603, 13176, -5567), (-43, 101, -14)]
[(-8603, 13176, -5567), (-43, 101, -14)]
[(-8603, 13176, -5567), (-43, 101, -14)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8584, 13112, -5478), (-84, 105, -47)]
[(-8592, 12962, -5542), (166, -288, 19)]
