[(-7512, 13455, -6012), (113, 232, 64)]
[(-7412, 13518, -6294), (30, 231, 82)]
[(-7412, 13518, -6294), (30, 231, 82)]
[(-7412, 13518, -6294), (30, 231, 82)]
[(-7412, 13518, -6294), (30, 231, 82)]
[(-7412, 13518, -6294), (30, 231, 82)]
[(-7129, 13620, -6392), (27, 328, 90)]
[(-7129, 13620, -6392), (27, 328, 90)]
[(-7129, 13620, -6392), (27, 328, 90)]
[(-7129, 13620, -6392), (27, 328, 90)]
[(-7129, 13620, -6392), (27, 328, 90)]
[(-7129, 13620, -6392), (27, 328, 90)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6796, 13647, -6557), (20, 277, 75)]
[(-6496, 13788, -6679), (-36, 236, 76)]
[(-6496, 13788, -6679), (-36, 236, 76)]
[(-6496, 13788, -6679), (-36, 236, 76)]
[(-6496, 13788, -6679), (-36, 236, 76)]
[(-6496, 13788, -6679), (-36, 236, 76)]
[(-6496, 13788, -6679), (-36, 236, 76)]
[(-6214, 13932, -6764), (-23, 145, 48)]
[(-6214, 13932, -6764), (-23, 145, 48)]
[(-6214, 13932, -6764), (-23, 145, 48)]
[(-6214, 13932, -6764), (-23, 145, 48)]
[(-6214, 13932, -6764), (-23, 145, 48)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-6058, 13954, -6791), (-30, 57, 13)]
[(-5951, 13942, -6888), (7, 46, 0)]
[(-5951, 13942, -6888), (7, 46, 0)]
[(-5951, 13942, -6888), (7, 46, 0)]
[(-5951, 13942, -6888), (7, 46, 0)]
[(-5951, 13942, -6888), (7, 46, 0)]
[(-5951, 13942, -6888), (7, 46, 0)]
[(-5956, 13908, -7036), (101, 21, -21)]
[(-5956, 13908, -7036), (101, 21, -21)]
[(-5956, 13908, -7036), (101, 21, -21)]
[(-5956, 13908, -7036), (101, 21, -21)]
[(-5956, 13908, -7036), (101, 21, -21)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5880, 13858, -7126), (47, 52, 0)]
[(-5861, 13917, -7288), (13, 53, 14)]
[(-5861, 13917, -7288), (13, 53, 14)]
[(-5861, 13917, -7288), (13, 53, 14)]
[(-5861, 13917, -7288), (13, 53, 14)]
[(-5861, 13917, -7288), (13, 53, 14)]
[(-5861, 13917, -7288), (13, 53, 14)]
[(-5787, 13948, -7372), (0, 23, 7)]
[(-5787, 13948, -7372), (0, 23, 7)]
[(-5787, 13948, -7372), (0, 23, 7)]
[(-5787, 13948, -7372), (0, 23, 7)]
[(-5787, 13948, -7372), (0, 23, 7)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5753, 13942, -7439), (-22, 10, -53)]
[(-5974, 13925, -7436), (-28, -40, -105)]
[(-5974, 13925, -7436), (-28, -40, -105)]
[(-5974, 13925, -7436), (-28, -40, -105)]
[(-5974, 13925, -7436), (-28, -40, -105)]
[(-5974, 13925, -7436), (-28, -40, -105)]
[(-5974, 13925, -7436), (-28, -40, -105)]
[(-6256, 13920, -7255), (-45, -18, -113)]
[(-6256, 13920, -7255), (-45, -18, -113)]
[(-6256, 13920, -7255), (-45, -18, -113)]
[(-6256, 13920, -7255), (-45, -18, -113)]
[(-6256, 13920, -7255), (-45, -18, -113)]
[(-6515, 13856, -7221), (-28, 34, -109)]
