[(-15268, 2168, -5590), (-711, 629, 181)]
[(-15242, 2202, -5641), (-744, 666, 421)]
[(-15242, 2202, -5641), (-744, 666, 421)]
[(-15242, 2202, -5641), (-744, 666, 421)]
[(-15205, 2382, -5689), (-674, 692, 795)]
[(-15205, 2382, -5689), (-674, 692, 795)]
[(-15205, 2382, -5689), (-674, 692, 795)]
[(-15205, 2382, -5689), (-674, 692, 795)]
[(-15205, 2382, -5689), (-674, 692, 795)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15176, 2616, -5764), (-658, 713, 905)]
[(-15060, 2872, -5824), (-508, 621, 863)]
[(-15060, 2872, -5824), (-508, 621, 863)]
[(-15060, 2872, -5824), (-508, 621, 863)]
[(-15060, 2872, -5824), (-508, 621, 863)]
[(-15060, 2872, -5824), (-508, 621, 863)]
[(-15060, 2872, -5824), (-508, 621, 863)]
[(-15022, 3034, -5890), (-655, 524, 702)]
[(-15022, 3034, -5890), (-655, 524, 702)]
[(-15022, 3034, -5890), (-655, 524, 702)]
[(-15022, 3034, -5890), (-655, 524, 702)]
[(-15022, 3034, -5890), (-655, 524, 702)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14914, 3216, -5900), (-577, 474, 476)]
[(-14923, 3326, -5890), (-592, 470, 352)]
[(-14923, 3326, -5890), (-592, 470, 352)]
[(-14923, 3326, -5890), (-592, 470, 352)]
[(-14923, 3326, -5890), (-592, 470, 352)]
[(-14923, 3326, -5890), (-592, 470, 352)]
[(-14923, 3326, -5890), (-592, 470, 352)]
[(-14892, 3359, -5873), (-363, 350, 317)]
[(-14892, 3359, -5873), (-363, 350, 317)]
[(-14892, 3359, -5873), (-363, 350, 317)]
[(-14892, 3359, -5873), (-363, 350, 317)]
[(-14892, 3359, -5873), (-363, 350, 317)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14844, 4020, -5834), (-525, 619, 357)]
[(-14827, 3967, -5880), (-426, 565, 335)]
[(-14827, 3967, -5880), (-426, 565, 335)]
[(-14827, 3967, -5880), (-426, 565, 335)]
[(-14827, 3967, -5880), (-426, 565, 335)]
[(-14800, 3948, -5888), (-442, 502, 293)]
[(-14800, 3948, -5888), (-442, 502, 293)]
[(-14800, 3948, -5888), (-442, 502, 293)]
[(-14800, 3948, -5888), (-442, 502, 293)]
[(-14800, 3948, -5888), (-442, 502, 293)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14784, 3932, -5907), (-505, 483, 208)]
[(-14750, 3922, -5960), (-553, 459, 145)]
[(-14750, 3922, -5960), (-553, 459, 145)]
[(-14750, 3922, -5960), (-553, 459, 145)]
[(-14750, 3922, -5960), (-553, 459, 145)]
[(-14750, 3922, -5960), (-553, 459, 145)]
[(-14750, 3922, -5960), (-553, 459, 145)]
[(-14762, 3879, -5955), (-430, 459, 118)]
[(-14762, 3879, -5955), (-430, 459, 118)]
[(-14762, 3879, -5955), (-430, 459, 118)]
[(-14762, 3879, -5955), (-430, 459, 118)]
[(-14762, 3879, -5955), (-430, 459, 118)]
