[(-14244, 5605, -5598), (-497, 676, 139)]
[(-14156, 5673, -5672), (-568, 711, 92)]
[(-14156, 5673, -5672), (-568, 711, 92)]
[(-14156, 5673, -5672), (-568, 711, 92)]
[(-14156, 5673, -5672), (-568, 711, 92)]
[(-14156, 5673, -5672), (-568, 711, 92)]
[(-14156, 5673, -5672), (-568, 711, 92)]
[(-14164, 5694, -5704), (-546, 644, 93)]
[(-14164, 5694, -5704), (-546, 644, 93)]
[(-14164, 5694, -5704), (-546, 644, 93)]
[(-14164, 5694, -5704), (-546, 644, 93)]
[(-14164, 5694, -5704), (-546, 644, 93)]
[(-14164, 5694, -5704), (-546, 644, 93)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14153, 5738, -5748), (-475, 553, 102)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14080, 5814, -5791), (-564, 467, 162)]
[(-14024, 5945, -5788), (-478, 398, 89)]
[(-14024, 5945, -5788), (-478, 398, 89)]
[(-13997, 5976, -5796), (-356, 358, 67)]
[(-13997, 5976, -5796), (-356, 358, 67)]
[(-13997, 5976, -5796), (-356, 358, 67)]
[(-13997, 5976, -5796), (-356, 358, 67)]
[(-13997, 5976, -5796), (-356, 358, 67)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-14003, 6046, -5776), (-363, 355, 76)]
[(-13971, 6053, -5779), (-307, 395, 51)]
[(-13971, 6053, -5779), (-307, 395, 51)]
[(-13971, 6053, -5779), (-307, 395, 51)]
[(-13971, 6053, -5779), (-307, 395, 51)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13976, 6022, -5816), (-52, 371, 46)]
[(-13880, 6075, -5871), (-127, 387, 3)]
[(-13880, 6075, -5871), (-127, 387, 3)]
[(-13880, 6075, -5871), (-127, 387, 3)]
[(-13880, 6075, -5871), (-127, 387, 3)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13899, 6066, -5904), (-123, 393, 58)]
[(-13878, 6085, -5921), (-106, 380, 49)]
[(-13878, 6085, -5921), (-106, 380, 49)]
