[(-14035, 5712, -5999), (-166, 200, 40)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14028, 5730, -6021), (-146, 224, 42)]
[(-14031, 5732, -6038), (-121, 241, 47)]
[(-14031, 5732, -6038), (-121, 241, 47)]
[(-14031, 5732, -6038), (-121, 241, 47)]
[(-14031, 5732, -6038), (-121, 241, 47)]
[(-14031, 5732, -6038), (-121, 241, 47)]
[(-14044, 5760, -6060), (-136, 247, 26)]
[(-14044, 5760, -6060), (-136, 247, 26)]
[(-14044, 5760, -6060), (-136, 247, 26)]
[(-14044, 5760, -6060), (-136, 247, 26)]
[(-14044, 5760, -6060), (-136, 247, 26)]
[(-14044, 5760, -6060), (-136, 247, 26)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14016, 5728, -6079), (-212, 254, 12)]
[(-14004, 5789, -6052), (-212, 238, 142)]
[(-14004, 5789, -6052), (-212, 238, 142)]
[(-14004, 5789, -6052), (-212, 238, 142)]
[(-14004, 5789, -6052), (-212, 238, 142)]
[(-14004, 5789, -6052), (-212, 238, 142)]
[(-14020, 5832, -6049), (-311, 222, 164)]
[(-14020, 5832, -6049), (-311, 222, 164)]
[(-14020, 5832, -6049), (-311, 222, 164)]
[(-14020, 5832, -6049), (-311, 222, 164)]
[(-14020, 5832, -6049), (-311, 222, 164)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-13998, 5851, -6045), (-234, 214, 94)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-14017, 5844, -6084), (-30, 277, 99)]
[(-13980, 5890, -6091), (-16, 376, 76)]
[(-13980, 5890, -6091), (-16, 376, 76)]
[(-13980, 5890, -6091), (-16, 376, 76)]
[(-13980, 5890, -6091), (-16, 376, 76)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14017, 5900, -6056), (-8, 342, 108)]
[(-14013, 5908, -6073), (-46, 298, 53)]
[(-14013, 5908, -6073), (-46, 298, 53)]
[(-14013, 5908, -6073), (-46, 298, 53)]
[(-14013, 5908, -6073), (-46, 298, 53)]
[(-14013, 5908, -6073), (-46, 298, 53)]
[(-14006, 5917, -6073), (-113, 269, 55)]
[(-14006, 5917, -6073), (-113, 269, 55)]
[(-14006, 5917, -6073), (-113, 269, 55)]
[(-14006, 5917, -6073), (-113, 269, 55)]
[(-14006, 5917, -6073), (-113, 269, 55)]
[(-14006, 5917, -6073), (-113, 269, 55)]
[(-14012, 5917, -6057), (-113, 253, 54)]
[(-14012, 5917, -6057), (-113, 253, 54)]
[(-14012, 5917, -6057), (-113, 253, 54)]
[(-14012, 5917, -6057), (-113, 253, 54)]
[(-14012, 5917, -6057), (-113, 253, 54)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14008, 5904, -6064), (-103, 267, 35)]
[(-14001, 5884, -6083), (-110, 277, 40)]
[(-14001, 5884, -6083), (-110, 277, 40)]
[(-14001, 5884, -6083), (-110, 277, 40)]
[(-14001, 5884, -6083), (-110, 277, 40)]
[(-14001, 5884, -6083), (-110, 277, 40)]
[(-14001, 5884, -6083), (-110, 277, 40)]
[(-13989, 5904, -6084), (-173, 212, 26)]
[(-13989, 5904, -6084), (-173, 212, 26)]
[(-13989, 5904, -6084), (-173, 212, 26)]
[(-13989, 5904, -6084), (-173, 212, 26)]
[(-13989, 5904, -6084), (-173, 212, 26)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13968, 5900, -6074), (-248, 185, 25)]
[(-13962, 5894, -6085), (-178, 181, 33)]
