[(-13891, 7575, -4150), (-179, 262, 64)]
[(-13876, 7581, -4140), (-172, 265, 69)]
[(-13876, 7581, -4140), (-172, 265, 69)]
[(-13876, 7581, -4140), (-172, 265, 69)]
[(-13876, 7581, -4140), (-172, 265, 69)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13898, 7580, -4116), (-202, 306, 48)]
[(-13872, 7556, -4116), (-162, 309, 34)]
[(-13872, 7556, -4116), (-162, 309, 34)]
[(-13872, 7556, -4116), (-162, 309, 34)]
[(-13872, 7556, -4116), (-162, 309, 34)]
[(-13862, 7514, -4116), (-76, 212, 45)]
[(-13862, 7514, -4116), (-76, 212, 45)]
[(-13862, 7514, -4116), (-76, 212, 45)]
[(-13862, 7514, -4116), (-76, 212, 45)]
[(-13862, 7514, -4116), (-76, 212, 45)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13859, 7508, -4122), (-74, 147, 63)]
[(-13901, 7494, -4116), (-91, 130, 60)]
[(-13901, 7494, -4116), (-91, 130, 60)]
[(-13901, 7494, -4116), (-91, 130, 60)]
[(-13901, 7494, -4116), (-91, 130, 60)]
[(-13901, 7494, -4116), (-91, 130, 60)]
[(-13901, 7494, -4116), (-91, 130, 60)]
[(-13892, 7501, -4096), (-127, 200, 60)]
[(-13892, 7501, -4096), (-127, 200, 60)]
[(-13892, 7501, -4096), (-127, 200, 60)]
[(-13892, 7501, -4096), (-127, 200, 60)]
[(-13892, 7501, -4096), (-127, 200, 60)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13872, 7525, -4104), (-43, 255, 10)]
[(-13831, 7512, -4209), (-434, 333, -141)]
[(-13831, 7512, -4209), (-434, 333, -141)]
[(-13831, 7512, -4209), (-434, 333, -141)]
[(-13831, 7512, -4209), (-434, 333, -141)]
[(-13831, 7512, -4209), (-434, 333, -141)]
[(-13831, 7512, -4209), (-434, 333, -141)]
[(-13894, 7498, -4215), (-597, 559, -119)]
[(-13894, 7498, -4215), (-597, 559, -119)]
[(-13894, 7498, -4215), (-597, 559, -119)]
[(-13894, 7498, -4215), (-597, 559, -119)]
[(-13894, 7498, -4215), (-597, 559, -119)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14029, 7543, -3990), (-324, 458, 140)]
[(-14009, 7515, -4078), (-185, 513, 214)]
[(-14009, 7515, -4078), (-185, 513, 214)]
[(-14009, 7515, -4078), (-185, 513, 214)]
[(-14009, 7515, -4078), (-185, 513, 214)]
[(-14009, 7515, -4078), (-185, 513, 214)]
[(-14009, 7515, -4078), (-185, 513, 214)]
[(-13940, 7567, -4094), (85, 277, 170)]
[(-13940, 7567, -4094), (85, 277, 170)]
[(-13940, 7567, -4094), (85, 277, 170)]
[(-13940, 7567, -4094), (85, 277, 170)]
[(-13940, 7567, -4094), (85, 277, 170)]
[(-13940, 7581, -4096), (376, 18, 170)]
[(-13940, 7581, -4096), (376, 18, 170)]
[(-13940, 7581, -4096), (376, 18, 170)]
[(-13940, 7581, -4096), (376, 18, 170)]
[(-13940, 7581, -4096), (376, 18, 170)]
[(-13940, 7581, -4096), (376, 18, 170)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13965, 7558, -4089), (384, -75, 184)]
[(-13922, 7544, -4088), (300, 28, 177)]
[(-13922, 7544, -4088), (300, 28, 177)]
[(-13922, 7544, -4088), (300, 28, 177)]
[(-13922, 7544, -4088), (300, 28, 177)]
[(-13922, 7544, -4088), (300, 28, 177)]
[(-13916, 7520, -4092), (212, 230, 145)]
[(-13916, 7520, -4092), (212, 230, 145)]
[(-13916, 7520, -4092), (212, 230, 145)]
[(-13916, 7520, -4092), (212, 230, 145)]
[(-13916, 7520, -4092), (212, 230, 145)]
[(-13916, 7520, -4092), (212, 230, 145)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13932, 7516, -4140), (144, 357, 100)]
[(-13894, 7555, -4189), (85, 291, 87)]
[(-13894, 7555, -4189), (85, 291, 87)]
[(-13894, 7555, -4189), (85, 291, 87)]
[(-13894, 7555, -4189), (85, 291, 87)]
[(-13894, 7555, -4189), (85, 291, 87)]
[(-13891, 7548, -4196), (30, 184, 69)]
[(-13891, 7548, -4196), (30, 184, 69)]
[(-13891, 7548, -4196), (30, 184, 69)]
