[(-13851, 7409, -4214), (-155, 233, 23)]
[(-13842, 7402, -4180), (-161, 234, 26)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13867, 7427, -4190), (-147, 255, 50)]
[(-13881, 7427, -4201), (-128, 272, 52)]
[(-13881, 7427, -4201), (-128, 272, 52)]
[(-13881, 7427, -4201), (-128, 272, 52)]
[(-13881, 7427, -4201), (-128, 272, 52)]
[(-13881, 7427, -4201), (-128, 272, 52)]
[(-13881, 7427, -4201), (-128, 272, 52)]
[(-13890, 7435, -4216), (-102, 268, 31)]
[(-13890, 7435, -4216), (-102, 268, 31)]
[(-13890, 7435, -4216), (-102, 268, 31)]
[(-13890, 7435, -4216), (-102, 268, 31)]
[(-13890, 7435, -4216), (-102, 268, 31)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13898, 7491, -4248), (-412, 486, -75)]
[(-13926, 7515, -4256), (-420, 469, -92)]
[(-13926, 7515, -4256), (-420, 469, -92)]
[(-13926, 7515, -4256), (-420, 469, -92)]
[(-13926, 7515, -4256), (-420, 469, -92)]
[(-13926, 7515, -4256), (-420, 469, -92)]
[(-13926, 7515, -4256), (-420, 469, -92)]
[(-13916, 7526, -4298), (-148, 692, -23)]
[(-13916, 7526, -4298), (-148, 692, -23)]
[(-13916, 7526, -4298), (-148, 692, -23)]
[(-13916, 7526, -4298), (-148, 692, -23)]
[(-13916, 7526, -4298), (-148, 692, -23)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13856, 7608, -4366), (-349, 598, 12)]
[(-13820, 7593, -4384), (-328, 500, -16)]
[(-13820, 7593, -4384), (-328, 500, -16)]
[(-13820, 7593, -4384), (-328, 500, -16)]
[(-13820, 7593, -4384), (-328, 500, -16)]
[(-13820, 7593, -4384), (-328, 500, -16)]
[(-13840, 7509, -4393), (-473, 106, -91)]
[(-13840, 7509, -4393), (-473, 106, -91)]
[(-13840, 7509, -4393), (-473, 106, -91)]
[(-13840, 7509, -4393), (-473, 106, -91)]
[(-13840, 7509, -4393), (-473, 106, -91)]
[(-13873, 7505, -4375), (-246, -143, -66)]
[(-13873, 7505, -4375), (-246, -143, -66)]
[(-13873, 7505, -4375), (-246, -143, -66)]
[(-13873, 7505, -4375), (-246, -143, -66)]
[(-13873, 7505, -4375), (-246, -143, -66)]
[(-13873, 7505, -4375), (-246, -143, -66)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13888, 7484, -4330), (-131, -117, 0)]
[(-13912, 7488, -4223), (-64, -51, 59)]
[(-13912, 7488, -4223), (-64, -51, 59)]
[(-13912, 7488, -4223), (-64, -51, 59)]
[(-13912, 7488, -4223), (-64, -51, 59)]
[(-13916, 7496, -4179), (158, -77, 76)]
[(-13916, 7496, -4179), (158, -77, 76)]
[(-13916, 7496, -4179), (158, -77, 76)]
[(-13916, 7496, -4179), (158, -77, 76)]
[(-13916, 7496, -4179), (158, -77, 76)]
[(-13916, 7496, -4179), (158, -77, 76)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13900, 7479, -4137), (289, -138, 63)]
[(-13899, 7453, -4160), (284, -327, 81)]
[(-13899, 7453, -4160), (284, -327, 81)]
[(-13899, 7453, -4160), (284, -327, 81)]
[(-13899, 7453, -4160), (284, -327, 81)]
[(-13899, 7453, -4160), (284, -327, 81)]
[(-13926, 7432, -4114), (248, -310, 97)]
[(-13926, 7432, -4114), (248, -310, 97)]
[(-13926, 7432, -4114), (248, -310, 97)]
[(-13926, 7432, -4114), (248, -310, 97)]
[(-13926, 7432, -4114), (248, -310, 97)]
