[(-13916, 7427, -4192), (-33, 251, -6)]
[(-13920, 7407, -4180), (-123, 240, -45)]
[(-13920, 7407, -4180), (-123, 240, -45)]
[(-13920, 7407, -4180), (-123, 240, -45)]
[(-13920, 7407, -4180), (-123, 240, -45)]
[(-13920, 7407, -4180), (-123, 240, -45)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13934, 7396, -4202), (-101, 220, 2)]
[(-13920, 7389, -4147), (-156, 243, 27)]
[(-13920, 7389, -4147), (-156, 243, 27)]
[(-13920, 7389, -4147), (-156, 243, 27)]
[(-13920, 7389, -4147), (-156, 243, 27)]
[(-13920, 7389, -4147), (-156, 243, 27)]
[(-13920, 7389, -4147), (-156, 243, 27)]
[(-13898, 7386, -4140), (9, 263, 4)]
[(-13898, 7386, -4140), (9, 263, 4)]
[(-13898, 7386, -4140), (9, 263, 4)]
[(-13898, 7386, -4140), (9, 263, 4)]
[(-13898, 7386, -4140), (9, 263, 4)]
[(-13915, 7392, -4151), (-171, 132, -60)]
[(-13915, 7392, -4151), (-171, 132, -60)]
[(-13915, 7392, -4151), (-171, 132, -60)]
[(-13915, 7392, -4151), (-171, 132, -60)]
[(-13915, 7392, -4151), (-171, 132, -60)]
[(-13915, 7392, -4151), (-171, 132, -60)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13974, 7322, -4137), (-193, 344, -51)]
[(-13945, 7087, -4182), (63, 125, 58)]
[(-13945, 7087, -4182), (63, 125, 58)]
[(-13945, 7087, -4182), (63, 125, 58)]
[(-13945, 7087, -4182), (63, 125, 58)]
[(-13945, 7087, -4182), (63, 125, 58)]
[(-13947, 7150, -4172), (-107, 330, 132)]
[(-13947, 7150, -4172), (-107, 330, 132)]
[(-13947, 7150, -4172), (-107, 330, 132)]
[(-13947, 7150, -4172), (-107, 330, 132)]
[(-13947, 7150, -4172), (-107, 330, 132)]
[(-13947, 7150, -4172), (-107, 330, 132)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13961, 7212, -4205), (125, 38, 75)]
[(-13964, 7260, -4206), (271, -85, 74)]
[(-13964, 7260, -4206), (271, -85, 74)]
[(-13964, 7260, -4206), (271, -85, 74)]
[(-13964, 7260, -4206), (271, -85, 74)]
[(-13964, 7260, -4206), (271, -85, 74)]
[(-13987, 7300, -4146), (255, -151, 82)]
[(-13987, 7300, -4146), (255, -151, 82)]
[(-13987, 7300, -4146), (255, -151, 82)]
[(-13987, 7300, -4146), (255, -151, 82)]
[(-13987, 7300, -4146), (255, -151, 82)]
[(-13987, 7300, -4146), (255, -151, 82)]
[(-13988, 7321, -4127), (185, -69, 116)]
[(-13988, 7321, -4127), (185, -69, 116)]
[(-13988, 7321, -4127), (185, -69, 116)]
[(-13988, 7321, -4127), (185, -69, 116)]
[(-13988, 7321, -4127), (185, -69, 116)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13954, 7328, -4094), (167, 139, 125)]
[(-13978, 7340, -4139), (78, 284, 89)]
[(-13978, 7340, -4139), (78, 284, 89)]
[(-13978, 7340, -4139), (78, 284, 89)]
[(-13978, 7340, -4139), (78, 284, 89)]
[(-13978, 7340, -4139), (78, 284, 89)]
[(-13978, 7340, -4139), (78, 284, 89)]
[(-13968, 7339, -4149), (9, 272, 58)]
[(-13968, 7339, -4149), (9, 272, 58)]
[(-13968, 7339, -4149), (9, 272, 58)]
[(-13968, 7339, -4149), (9, 272, 58)]
[(-13968, 7339, -4149), (9, 272, 58)]
[(-13953, 7371, -4155), (-46, 184, 54)]
[(-13953, 7371, -4155), (-46, 184, 54)]
[(-13953, 7371, -4155), (-46, 184, 54)]
[(-13953, 7371, -4155), (-46, 184, 54)]
