[(-15005, 4748, -4256), (145, 1597, 312)]
[(-14972, 4822, -4248), (117, 1672, 228)]
[(-14972, 4822, -4248), (117, 1672, 228)]
[(-14972, 4822, -4248), (117, 1672, 228)]
[(-14972, 4822, -4248), (117, 1672, 228)]
[(-14972, 4822, -4248), (117, 1672, 228)]
[(-14915, 4849, -4285), (23, 1704, 154)]
[(-14915, 4849, -4285), (23, 1704, 154)]
[(-14915, 4849, -4285), (23, 1704, 154)]
[(-14915, 4849, -4285), (23, 1704, 154)]
[(-14915, 4849, -4285), (23, 1704, 154)]
[(-14920, 4904, -4329), (-121, 1747, 110)]
[(-14920, 4904, -4329), (-121, 1747, 110)]
[(-14920, 4904, -4329), (-121, 1747, 110)]
[(-14920, 4904, -4329), (-121, 1747, 110)]
[(-14920, 4904, -4329), (-121, 1747, 110)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14908, 4884, -4329), (-139, 1609, 51)]
[(-14918, 4892, -4266), (-199, 1637, -97)]
[(-14918, 4892, -4266), (-199, 1637, -97)]
[(-14918, 4892, -4266), (-199, 1637, -97)]
[(-14918, 4892, -4266), (-199, 1637, -97)]
[(-14918, 4892, -4266), (-199, 1637, -97)]
[(-14918, 4915, -4308), (-292, 2151, -36)]
[(-14918, 4915, -4308), (-292, 2151, -36)]
[(-14918, 4915, -4308), (-292, 2151, -36)]
[(-14918, 4915, -4308), (-292, 2151, -36)]
[(-14918, 4915, -4308), (-292, 2151, -36)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14945, 4811, -4327), (-89, 1916, -41)]
[(-14916, 4812, -4375), (-83, 1908, 46)]
[(-14916, 4812, -4375), (-83, 1908, 46)]
[(-14916, 4812, -4375), (-83, 1908, 46)]
[(-14916, 4812, -4375), (-83, 1908, 46)]
[(-14916, 4812, -4375), (-83, 1908, 46)]
[(-14920, 4837, -4459), (-72, 1893, 53)]
[(-14920, 4837, -4459), (-72, 1893, 53)]
[(-14920, 4837, -4459), (-72, 1893, 53)]
[(-14920, 4837, -4459), (-72, 1893, 53)]
[(-14920, 4837, -4459), (-72, 1893, 53)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14887, 4850, -4476), (-16, 1504, 86)]
[(-14872, 4924, -4448), (33, 1067, -6)]
[(-14872, 4924, -4448), (33, 1067, -6)]
[(-14872, 4924, -4448), (33, 1067, -6)]
[(-14872, 4924, -4448), (33, 1067, -6)]
[(-14872, 4924, -4448), (33, 1067, -6)]
[(-14908, 4936, -4344), (98, 882, -43)]
[(-14908, 4936, -4344), (98, 882, -43)]
[(-14908, 4936, -4344), (98, 882, -43)]
[(-14908, 4936, -4344), (98, 882, -43)]
[(-14908, 4936, -4344), (98, 882, -43)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14914, 4947, -4284), (134, 715, -49)]
[(-14932, 4946, -4208), (59, 699, 31)]
[(-14932, 4946, -4208), (59, 699, 31)]
[(-14932, 4946, -4208), (59, 699, 31)]
[(-14932, 4946, -4208), (59, 699, 31)]
[(-14932, 4946, -4208), (59, 699, 31)]
[(-14958, 5013, -4132), (-66, 547, -22)]
[(-14958, 5013, -4132), (-66, 547, -22)]
[(-14958, 5013, -4132), (-66, 547, -22)]
[(-14958, 5013, -4132), (-66, 547, -22)]
[(-14958, 5013, -4132), (-66, 547, -22)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14970, 4952, -4084), (147, 403, -66)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14943, 4946, -3981), (405, 299, -59)]
[(-14940, 4950, -3881), (69, 60, 50)]
[(-14940, 4950, -3881), (69, 60, 50)]
[(-14940, 4950, -3881), (69, 60, 50)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14951, 4992, -3860), (108, 25, -126)]
[(-14863, 5008, -3892), (-17, 413, -266)]
[(-14863, 5008, -3892), (-17, 413, -266)]
