[(-6806, 14170, -5688), (25, 49, 91)]
[(-6699, 14256, -5731), (16, 38, 77)]
[(-6699, 14256, -5731), (16, 38, 77)]
[(-6699, 14256, -5731), (16, 38, 77)]
[(-6699, 14256, -5731), (16, 38, 77)]
[(-6699, 14256, -5731), (16, 38, 77)]
[(-6699, 14256, -5731), (16, 38, 77)]
[(-6570, 14228, -5816), (16, 24, 75)]
[(-6570, 14228, -5816), (16, 24, 75)]
[(-6570, 14228, -5816), (16, 24, 75)]
[(-6570, 14228, -5816), (16, 24, 75)]
[(-6570, 14228, -5816), (16, 24, 75)]
[(-6453, 14211, -5883), (13, 18, 60)]
[(-6453, 14211, -5883), (13, 18, 60)]
[(-6453, 14211, -5883), (13, 18, 60)]
[(-6453, 14211, -5883), (13, 18, 60)]
[(-6453, 14211, -5883), (13, 18, 60)]
[(-6453, 14211, -5883), (13, 18, 60)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6392, 14266, -5956), (18, 26, 44)]
[(-6278, 14264, -6064), (20, 44, 26)]
[(-6278, 14264, -6064), (20, 44, 26)]
[(-6278, 14264, -6064), (20, 44, 26)]
[(-6278, 14264, -6064), (20, 44, 26)]
[(-6278, 14264, -6064), (20, 44, 26)]
[(-6259, 14276, -6134), (30, 80, 9)]
[(-6259, 14276, -6134), (30, 80, 9)]
[(-6259, 14276, -6134), (30, 80, 9)]
[(-6259, 14276, -6134), (30, 80, 9)]
[(-6259, 14276, -6134), (30, 80, 9)]
[(-6259, 14276, -6134), (30, 80, 9)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6202, 14267, -6241), (100, 107, 2)]
[(-6185, 14216, -6354), (77, 132, 11)]
[(-6185, 14216, -6354), (77, 132, 11)]
[(-6185, 14216, -6354), (77, 132, 11)]
[(-6185, 14216, -6354), (77, 132, 11)]
[(-6185, 14216, -6354), (77, 132, 11)]
[(-6175, 14185, -6444), (62, 92, 12)]
[(-6175, 14185, -6444), (62, 92, 12)]
[(-6175, 14185, -6444), (62, 92, 12)]
[(-6175, 14185, -6444), (62, 92, 12)]
[(-6175, 14185, -6444), (62, 92, 12)]
[(-6175, 14185, -6444), (62, 92, 12)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6172, 14187, -6477), (-18, 36, 4)]
[(-6274, 14198, -6352), (-61, -7, 15)]
[(-6274, 14198, -6352), (-61, -7, 15)]
[(-6274, 14198, -6352), (-61, -7, 15)]
[(-6274, 14198, -6352), (-61, -7, 15)]
[(-6274, 14198, -6352), (-61, -7, 15)]
[(-6302, 14216, -6215), (-53, -35, 21)]
[(-6302, 14216, -6215), (-53, -35, 21)]
[(-6302, 14216, -6215), (-53, -35, 21)]
[(-6302, 14216, -6215), (-53, -35, 21)]
[(-6302, 14216, -6215), (-53, -35, 21)]
[(-6302, 14216, -6215), (-53, -35, 21)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6316, 14256, -6088), (-16, -29, 19)]
[(-6296, 14276, -6070), (5, 7, 6)]
[(-6296, 14276, -6070), (5, 7, 6)]
[(-6296, 14276, -6070), (5, 7, 6)]
[(-6296, 14276, -6070), (5, 7, 6)]
[(-6296, 14276, -6070), (5, 7, 6)]
[(-6296, 14276, -6070), (5, 7, 6)]
[(-6256, 14291, -6072), (7, 34, -3)]
[(-6256, 14291, -6072), (7, 34, -3)]
[(-6256, 14291, -6072), (7, 34, -3)]
[(-6256, 14291, -6072), (7, 34, -3)]
[(-6260, 14278, -6062), (-3, 36, 4)]
[(-6260, 14278, -6062), (-3, 36, 4)]
[(-6260, 14278, -6062), (-3, 36, 4)]
[(-6260, 14278, -6062), (-3, 36, 4)]
[(-6260, 14278, -6062), (-3, 36, 4)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6228, 14289, -6033), (-16, 18, 10)]
[(-6246, 14292, -6009), (-25, 14, 0)]
[(-6246, 14292, -6009), (-25, 14, 0)]
[(-6246, 14292, -6009), (-25, 14, 0)]
[(-6246, 14292, -6009), (-25, 14, 0)]
[(-6246, 14292, -6009), (-25, 14, 0)]
[(-6246, 14292, -6009), (-25, 14, 0)]
[(-6264, 14284, -5997), (-27, 30, -17)]
