[(-6429, 14070, -6637), (-20, 54, 25)]
[(-6406, 14092, -6616), (-23, 60, 16)]
[(-6406, 14092, -6616), (-23, 60, 16)]
[(-6406, 14092, -6616), (-23, 60, 16)]
[(-6406, 14092, -6616), (-23, 60, 16)]
[(-6406, 14092, -6616), (-23, 60, 16)]
[(-6406, 14092, -6616), (-23, 60, 16)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6392, 14084, -6625), (-27, 67, 2)]
[(-6272, 14051, -6772), (-29, 42, 4)]
[(-6272, 14051, -6772), (-29, 42, 4)]
[(-6272, 14051, -6772), (-29, 42, 4)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6238, 14088, -6807), (-11, 69, -10)]
[(-6274, 14042, -6802), (14, 83, -10)]
[(-6274, 14042, -6802), (14, 83, -10)]
[(-6274, 14042, -6802), (14, 83, -10)]
[(-6274, 14042, -6802), (14, 83, -10)]
[(-6274, 14042, -6802), (14, 83, -10)]
[(-6331, 13973, -6876), (34, 86, 0)]
[(-6331, 13973, -6876), (34, 86, 0)]
[(-6331, 13973, -6876), (34, 86, 0)]
[(-6331, 13973, -6876), (34, 86, 0)]
[(-6331, 13973, -6876), (34, 86, 0)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6247, 13999, -7024), (20, 55, 14)]
[(-6224, 13957, -7072), (19, 71, 9)]
[(-6224, 13957, -7072), (19, 71, 9)]
[(-6224, 13957, -7072), (19, 71, 9)]
[(-6224, 13957, -7072), (19, 71, 9)]
[(-6218, 13958, -7105), (-43, 31, -1)]
[(-6218, 13958, -7105), (-43, 31, -1)]
[(-6218, 13958, -7105), (-43, 31, -1)]
[(-6218, 13958, -7105), (-43, 31, -1)]
[(-6218, 13958, -7105), (-43, 31, -1)]
[(-6274, 13962, -6996), (-61, 15, 3)]
[(-6274, 13962, -6996), (-61, 15, 3)]
[(-6274, 13962, -6996), (-61, 15, 3)]
[(-6274, 13962, -6996), (-61, 15, 3)]
[(-6274, 13962, -6996), (-61, 15, 3)]
[(-6274, 13962, -6996), (-61, 15, 3)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6281, 13964, -6848), (-74, 35, -5)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6299, 13994, -6723), (-66, 50, -1)]
[(-6314, 14032, -6680), (-56, 51, 8)]
[(-6314, 14032, -6680), (-56, 51, 8)]
[(-6314, 14032, -6680), (-56, 51, 8)]
[(-6314, 14032, -6680), (-56, 51, 8)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6250, 14073, -6641), (-48, 65, 4)]
[(-6242, 14092, -6596), (-48, 81, 0)]
[(-6242, 14092, -6596), (-48, 81, 0)]
[(-6242, 14092, -6596), (-48, 81, 0)]
[(-6228, 14117, -6548), (-51, 94, 3)]
[(-6228, 14117, -6548), (-51, 94, 3)]
[(-6228, 14117, -6548), (-51, 94, 3)]
[(-6228, 14117, -6548), (-51, 94, 3)]
[(-6228, 14117, -6548), (-51, 94, 3)]
[(-6228, 14117, -6548), (-51, 94, 3)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6229, 14132, -6499), (-63, 128, -14)]
[(-6169, 14180, -6506), (-186, 305, -42)]
[(-6169, 14180, -6506), (-186, 305, -42)]
[(-6169, 14180, -6506), (-186, 305, -42)]
