[(-14098, 5884, -5752), (-294, 441, 66)]
[(-14076, 5887, -5767), (-188, 450, 123)]
[(-14076, 5887, -5767), (-188, 450, 123)]
[(-14076, 5887, -5767), (-188, 450, 123)]
[(-14076, 5887, -5767), (-188, 450, 123)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14093, 5939, -5768), (-180, 460, 28)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14134, 5997, -5775), (-234, 365, 35)]
[(-14110, 6017, -5796), (-317, 352, 19)]
[(-14110, 6017, -5796), (-317, 352, 19)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14121, 6008, -5807), (-353, 355, 107)]
[(-14126, 5960, -5848), (-334, 339, 278)]
[(-14126, 5960, -5848), (-334, 339, 278)]
[(-14126, 5960, -5848), (-334, 339, 278)]
[(-14126, 5960, -5848), (-334, 339, 278)]
[(-14126, 5960, -5848), (-334, 339, 278)]
[(-14126, 5960, -5848), (-334, 339, 278)]
[(-14055, 6036, -5844), (-250, 289, 311)]
[(-14055, 6036, -5844), (-250, 289, 311)]
[(-14055, 6036, -5844), (-250, 289, 311)]
[(-14055, 6036, -5844), (-250, 289, 311)]
[(-14055, 6036, -5844), (-250, 289, 311)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13953, 6192, -5810), (-115, 312, 187)]
[(-13903, 6260, -5788), (-32, 274, 166)]
[(-13903, 6260, -5788), (-32, 274, 166)]
[(-13903, 6260, -5788), (-32, 274, 166)]
[(-13903, 6260, -5788), (-32, 274, 166)]
[(-13903, 6260, -5788), (-32, 274, 166)]
[(-13903, 6260, -5788), (-32, 274, 166)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13887, 6310, -5785), (-7, 312, 124)]
[(-13895, 6311, -5819), (-9, 344, 85)]
[(-13895, 6311, -5819), (-9, 344, 85)]
[(-13895, 6311, -5819), (-9, 344, 85)]
[(-13895, 6311, -5819), (-9, 344, 85)]
[(-13895, 6311, -5819), (-9, 344, 85)]
[(-13846, 6364, -5878), (-22, 324, 47)]
[(-13846, 6364, -5878), (-22, 324, 47)]
[(-13846, 6364, -5878), (-22, 324, 47)]
[(-13846, 6364, -5878), (-22, 324, 47)]
[(-13846, 6364, -5878), (-22, 324, 47)]
[(-13846, 6364, -5878), (-22, 324, 47)]
[(-13886, 6300, -5908), (-171, 277, 70)]
[(-13886, 6300, -5908), (-171, 277, 70)]
[(-13886, 6300, -5908), (-171, 277, 70)]
[(-13886, 6300, -5908), (-171, 277, 70)]
[(-13886, 6300, -5908), (-171, 277, 70)]
[(-13904, 6299, -5940), (-137, 266, 36)]
[(-13904, 6299, -5940), (-137, 266, 36)]
[(-13904, 6299, -5940), (-137, 266, 36)]
[(-13904, 6299, -5940), (-137, 266, 36)]
[(-13904, 6299, -5940), (-137, 266, 36)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
[(-13927, 6299, -5946), (-101, 264, 12)]
