[(-9069, 12956, -5080), (-20, 45, 20)]
[(-9024, 13024, -5094), (-14, 39, 19)]
[(-9024, 13024, -5094), (-14, 39, 19)]
[(-9024, 13024, -5094), (-14, 39, 19)]
[(-9024, 13024, -5094), (-14, 39, 19)]
[(-9024, 13024, -5094), (-14, 39, 19)]
[(-9024, 13024, -5094), (-14, 39, 19)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-9012, 13056, -5092), (-32, 45, 5)]
[(-8982, 13035, -5110), (-39, 55, 12)]
[(-8982, 13035, -5110), (-39, 55, 12)]
[(-8982, 13035, -5110), (-39, 55, 12)]
[(-8982, 13035, -5110), (-39, 55, 12)]
[(-8982, 13035, -5110), (-39, 55, 12)]
[(-8982, 13035, -5110), (-39, 55, 12)]
[(-8975, 13024, -5097), (-40, 49, 5)]
[(-8975, 13024, -5097), (-40, 49, 5)]
[(-8975, 13024, -5097), (-40, 49, 5)]
[(-8975, 13024, -5097), (-40, 49, 5)]
[(-8975, 13024, -5097), (-40, 49, 5)]
[(-8944, 13052, -5068), (-54, 42, 0)]
[(-8944, 13052, -5068), (-54, 42, 0)]
[(-8944, 13052, -5068), (-54, 42, 0)]
[(-8944, 13052, -5068), (-54, 42, 0)]
[(-8944, 13052, -5068), (-54, 42, 0)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-8960, 13040, -4948), (-72, 15, -12)]
[(-9066, 12996, -4817), (-70, -37, 2)]
[(-9066, 12996, -4817), (-70, -37, 2)]
[(-9066, 12996, -4817), (-70, -37, 2)]
[(-9066, 12996, -4817), (-70, -37, 2)]
[(-9011, 13001, -4691), (-39, -38, 17)]
[(-9011, 13001, -4691), (-39, -38, 17)]
[(-9011, 13001, -4691), (-39, -38, 17)]
[(-9011, 13001, -4691), (-39, -38, 17)]
[(-9011, 13001, -4691), (-39, -38, 17)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9013, 13002, -4632), (-28, -29, 20)]
[(-9028, 13036, -4607), (-38, -2, 9)]
[(-9028, 13036, -4607), (-38, -2, 9)]
[(-9028, 13036, -4607), (-38, -2, 9)]
[(-9028, 13036, -4607), (-38, -2, 9)]
[(-9028, 13036, -4607), (-38, -2, 9)]
[(-9028, 13036, -4607), (-38, -2, 9)]
[(-9032, 13030, -4549), (-84, 25, -13)]
[(-9032, 13030, -4549), (-84, 25, -13)]
[(-9032, 13030, -4549), (-84, 25, -13)]
[(-9032, 13030, -4549), (-84, 25, -13)]
[(-9032, 13030, -4549), (-84, 25, -13)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9060, 13063, -4475), (-65, 70, -25)]
[(-9114, 13064, -4444), (-54, 80, -31)]
[(-9114, 13064, -4444), (-54, 80, -31)]
[(-9114, 13064, -4444), (-54, 80, -31)]
[(-9114, 13064, -4444), (-54, 80, -31)]
[(-9114, 13064, -4444), (-54, 80, -31)]
[(-9132, 13034, -4472), (-51, 79, -27)]
[(-9132, 13034, -4472), (-51, 79, -27)]
[(-9132, 13034, -4472), (-51, 79, -27)]
[(-9132, 13034, -4472), (-51, 79, -27)]
[(-9132, 13034, -4472), (-51, 79, -27)]
[(-9136, 12988, -4452), (-40, 76, -26)]
[(-9136, 12988, -4452), (-40, 76, -26)]
[(-9136, 12988, -4452), (-40, 76, -26)]
[(-9136, 12988, -4452), (-40, 76, -26)]
[(-9136, 12988, -4452), (-40, 76, -26)]
[(-9136, 12988, -4452), (-40, 76, -26)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9109, 13000, -4437), (-29, 78, -19)]
[(-9161, 12985, -4457), (-31, 73, -22)]
[(-9161, 12985, -4457), (-31, 73, -22)]
[(-9161, 12985, -4457), (-31, 73, -22)]
[(-9161, 12985, -4457), (-31, 73, -22)]
[(-9161, 12985, -4457), (-31, 73, -22)]
[(-9176, 12961, -4443), (-44, 68, -26)]
[(-9176, 12961, -4443), (-44, 68, -26)]
[(-9176, 12961, -4443), (-44, 68, -26)]
[(-9176, 12961, -4443), (-44, 68, -26)]
[(-9176, 12961, -4443), (-44, 68, -26)]
[(-9176, 12961, -4443), (-44, 68, -26)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9195, 12964, -4399), (-42, 64, -34)]
[(-9248, 12993, -4392), (-59, 74, -41)]
[(-9248, 12993, -4392), (-59, 74, -41)]
[(-9248, 12993, -4392), (-59, 74, -41)]
[(-9248, 12993, -4392), (-59, 74, -41)]
[(-9248, 12993, -4392), (-59, 74, -41)]
[(-9248, 12993, -4392), (-59, 74, -41)]
[(-9344, 12869, -4452), (-20, 105, -37)]
[(-9344, 12869, -4452), (-20, 105, -37)]
[(-9344, 12869, -4452), (-20, 105, -37)]
[(-9344, 12869, -4452), (-20, 105, -37)]
[(-9344, 12869, -4452), (-20, 105, -37)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9412, 12857, -4403), (-93, 169, -52)]
[(-9405, 12783, -4448), (-162, 291, -68)]
[(-9405, 12783, -4448), (-162, 291, -68)]
[(-9405, 12783, -4448), (-162, 291, -68)]
[(-9405, 12783, -4448), (-162, 291, -68)]
[(-9405, 12783, -4448), (-162, 291, -68)]
[(-9832, 13280, -4529), (-173, 190, -34)]
[(-9832, 13280, -4529), (-173, 190, -34)]
[(-9832, 13280, -4529), (-173, 190, -34)]
[(-9832, 13280, -4529), (-173, 190, -34)]
[(-9832, 13280, -4529), (-173, 190, -34)]
[(-9832, 13280, -4529), (-173, 190, -34)]
[(-9471, 13189, -4416), (83, 85, -30)]
[(-9471, 13189, -4416), (83, 85, -30)]
