[(-15298, 2303, -4974), (-228, 452, 219)]
[(-15315, 2375, -5009), (-216, 446, 232)]
[(-15315, 2375, -5009), (-216, 446, 232)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15261, 2411, -5040), (-210, 466, 253)]
[(-15206, 2528, -5081), (-283, 512, 325)]
[(-15206, 2528, -5081), (-283, 512, 325)]
[(-15206, 2528, -5081), (-283, 512, 325)]
[(-15206, 2528, -5081), (-283, 512, 325)]
[(-15206, 2528, -5081), (-283, 512, 325)]
[(-15206, 2528, -5081), (-283, 512, 325)]
[(-15165, 2660, -5108), (-667, 602, 403)]
[(-15165, 2660, -5108), (-667, 602, 403)]
[(-15165, 2660, -5108), (-667, 602, 403)]
[(-15165, 2660, -5108), (-667, 602, 403)]
[(-15165, 2660, -5108), (-667, 602, 403)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15212, 2764, -5156), (-890, 625, 540)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15195, 2911, -5203), (-796, 604, 507)]
[(-15112, 3040, -5239), (-631, 528, 445)]
[(-15112, 3040, -5239), (-631, 528, 445)]
[(-15112, 3040, -5239), (-631, 528, 445)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15080, 3219, -5229), (-488, 515, 366)]
[(-15064, 3328, -5246), (-426, 522, 299)]
[(-15064, 3328, -5246), (-426, 522, 299)]
[(-15064, 3328, -5246), (-426, 522, 299)]
[(-15064, 3328, -5246), (-426, 522, 299)]
[(-15064, 3328, -5246), (-426, 522, 299)]
[(-15064, 3328, -5246), (-426, 522, 299)]
