[(-14115, 7084, -4000), (2, 193, 52)]
[(-14109, 7079, -4022), (-3, 230, 46)]
[(-14109, 7079, -4022), (-3, 230, 46)]
[(-14109, 7079, -4022), (-3, 230, 46)]
[(-14093, 7077, -4050), (-48, 182, 44)]
[(-14093, 7077, -4050), (-48, 182, 44)]
[(-14093, 7077, -4050), (-48, 182, 44)]
[(-14093, 7077, -4050), (-48, 182, 44)]
[(-14093, 7077, -4050), (-48, 182, 44)]
[(-14078, 7100, -4045), (-76, 156, 26)]
[(-14078, 7100, -4045), (-76, 156, 26)]
[(-14078, 7100, -4045), (-76, 156, 26)]
[(-14078, 7100, -4045), (-76, 156, 26)]
[(-14078, 7100, -4045), (-76, 156, 26)]
[(-14078, 7100, -4045), (-76, 156, 26)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14073, 7116, -4050), (-101, 164, 6)]
[(-14094, 7095, -4007), (-101, 211, 13)]
[(-14094, 7095, -4007), (-101, 211, 13)]
[(-14094, 7095, -4007), (-101, 211, 13)]
[(-14094, 7095, -4007), (-101, 211, 13)]
[(-14094, 7095, -4007), (-101, 211, 13)]
[(-14116, 7098, -4004), (-133, 236, 29)]
[(-14116, 7098, -4004), (-133, 236, 29)]
[(-14116, 7098, -4004), (-133, 236, 29)]
[(-14116, 7098, -4004), (-133, 236, 29)]
[(-14116, 7098, -4004), (-133, 236, 29)]
[(-14116, 7098, -4004), (-133, 236, 29)]
[(-14100, 7119, -4029), (-132, 197, 42)]
[(-14100, 7119, -4029), (-132, 197, 42)]
[(-14100, 7119, -4029), (-132, 197, 42)]
[(-14100, 7119, -4029), (-132, 197, 42)]
[(-14100, 7119, -4029), (-132, 197, 42)]
