[(-14160, 7035, -3963), (-103, 237, -41)]
[(-14152, 7044, -3951), (-125, 231, -23)]
[(-14152, 7044, -3951), (-125, 231, -23)]
[(-14152, 7044, -3951), (-125, 231, -23)]
[(-14152, 7044, -3951), (-125, 231, -23)]
[(-14157, 7026, -3952), (-147, 227, -9)]
[(-14157, 7026, -3952), (-147, 227, -9)]
[(-14157, 7026, -3952), (-147, 227, -9)]
[(-14157, 7026, -3952), (-147, 227, -9)]
[(-14157, 7026, -3952), (-147, 227, -9)]
[(-14157, 7026, -3952), (-147, 227, -9)]
[(-14161, 7023, -3984), (-122, 218, 0)]
[(-14161, 7023, -3984), (-122, 218, 0)]
[(-14161, 7023, -3984), (-122, 218, 0)]
[(-14161, 7023, -3984), (-122, 218, 0)]
[(-14161, 7023, -3984), (-122, 218, 0)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14171, 7027, -4028), (-113, 223, -10)]
[(-14172, 7011, -4004), (-118, 227, -13)]
[(-14172, 7011, -4004), (-118, 227, -13)]
[(-14172, 7011, -4004), (-118, 227, -13)]
[(-14172, 7011, -4004), (-118, 227, -13)]
[(-14172, 7011, -4004), (-118, 227, -13)]
[(-14172, 7011, -4004), (-118, 227, -13)]
[(-14169, 7036, -4009), (-141, 244, -10)]
[(-14169, 7036, -4009), (-141, 244, -10)]
[(-14169, 7036, -4009), (-141, 244, -10)]
[(-14169, 7036, -4009), (-141, 244, -10)]
[(-14169, 7036, -4009), (-141, 244, -10)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14180, 7061, -4024), (-109, 186, 36)]
[(-14155, 7046, -4022), (-143, 177, 42)]
[(-14155, 7046, -4022), (-143, 177, 42)]
[(-14155, 7046, -4022), (-143, 177, 42)]
[(-14155, 7046, -4022), (-143, 177, 42)]
[(-14155, 7046, -4022), (-143, 177, 42)]
[(-14155, 7046, -4022), (-143, 177, 42)]
[(-14131, 7076, -4004), (-130, 179, 18)]
[(-14131, 7076, -4004), (-130, 179, 18)]
[(-14131, 7076, -4004), (-130, 179, 18)]
[(-14131, 7076, -4004), (-130, 179, 18)]
[(-14131, 7076, -4004), (-130, 179, 18)]
[(-14136, 7061, -4023), (-115, 198, -3)]
[(-14136, 7061, -4023), (-115, 198, -3)]
[(-14136, 7061, -4023), (-115, 198, -3)]
[(-14136, 7061, -4023), (-115, 198, -3)]
[(-14136, 7061, -4023), (-115, 198, -3)]
[(-14136, 7061, -4023), (-115, 198, -3)]
[(-14136, 7061, -4023), (-115, 198, -3)]
