[(-14114, 7058, -3914), (-68, 302, 80)]
[(-14098, 7099, -3936), (-72, 264, 57)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14074, 7122, -3920), (-103, 180, 33)]
[(-14060, 7163, -3904), (-125, 142, 49)]
[(-14060, 7163, -3904), (-125, 142, 49)]
[(-14060, 7163, -3904), (-125, 142, 49)]
[(-14060, 7163, -3904), (-125, 142, 49)]
[(-14060, 7163, -3904), (-125, 142, 49)]
[(-14060, 7163, -3904), (-125, 142, 49)]
[(-14060, 7178, -3905), (-117, 199, 26)]
[(-14060, 7178, -3905), (-117, 199, 26)]
[(-14060, 7178, -3905), (-117, 199, 26)]
[(-14060, 7178, -3905), (-117, 199, 26)]
[(-14060, 7178, -3905), (-117, 199, 26)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14059, 7164, -3911), (-88, 236, -8)]
[(-14100, 7163, -3936), (-83, 224, -25)]
[(-14100, 7163, -3936), (-83, 224, -25)]
[(-14100, 7163, -3936), (-83, 224, -25)]
[(-14100, 7163, -3936), (-83, 224, -25)]
[(-14100, 7163, -3936), (-83, 224, -25)]
[(-14100, 7163, -3936), (-83, 224, -25)]
[(-14093, 7138, -3945), (-71, 178, -28)]
[(-14093, 7138, -3945), (-71, 178, -28)]
[(-14093, 7138, -3945), (-71, 178, -28)]
[(-14093, 7138, -3945), (-71, 178, -28)]
[(-14093, 7138, -3945), (-71, 178, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14071, 7137, -3962), (-98, 170, -28)]
[(-14043, 7108, -3980), (-122, 200, -29)]
[(-14043, 7108, -3980), (-122, 200, -29)]
[(-14043, 7108, -3980), (-122, 200, -29)]
[(-14043, 7108, -3980), (-122, 200, -29)]
[(-14043, 7108, -3980), (-122, 200, -29)]
[(-14043, 7108, -3980), (-122, 200, -29)]
[(-14084, 7103, -3954), (-125, 242, -21)]
[(-14084, 7103, -3954), (-125, 242, -21)]
[(-14084, 7103, -3954), (-125, 242, -21)]
[(-14084, 7103, -3954), (-125, 242, -21)]
[(-14084, 7103, -3954), (-125, 242, -21)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14056, 7100, -3928), (-158, 267, -19)]
[(-14060, 7080, -3950), (-164, 233, -33)]
[(-14060, 7080, -3950), (-164, 233, -33)]
[(-14060, 7080, -3950), (-164, 233, -33)]
[(-14060, 7080, -3950), (-164, 233, -33)]
[(-14060, 7080, -3950), (-164, 233, -33)]
[(-14060, 7080, -3950), (-164, 233, -33)]
[(-14094, 7095, -3941), (-233, 215, 20)]
[(-14094, 7095, -3941), (-233, 215, 20)]
[(-14094, 7095, -3941), (-233, 215, 20)]
[(-14094, 7095, -3941), (-233, 215, 20)]
[(-14094, 7095, -3941), (-233, 215, 20)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14078, 7097, -3927), (-225, 243, 45)]
[(-14074, 7126, -3934), (-190, 268, 37)]
[(-14074, 7126, -3934), (-190, 268, 37)]
[(-14074, 7126, -3934), (-190, 268, 37)]
[(-14074, 7126, -3934), (-190, 268, 37)]
[(-14074, 7126, -3934), (-190, 268, 37)]
[(-14065, 7099, -3932), (-173, 239, 57)]
[(-14065, 7099, -3932), (-173, 239, 57)]
[(-14065, 7099, -3932), (-173, 239, 57)]
[(-14065, 7099, -3932), (-173, 239, 57)]
[(-14065, 7099, -3932), (-173, 239, 57)]
[(-14065, 7099, -3932), (-173, 239, 57)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14054, 7128, -3881), (-161, 204, 52)]
[(-14059, 7113, -3900), (-171, 188, 52)]
[(-14059, 7113, -3900), (-171, 188, 52)]
[(-14059, 7113, -3900), (-171, 188, 52)]
[(-14059, 7113, -3900), (-171, 188, 52)]
[(-14059, 7113, -3900), (-171, 188, 52)]
[(-14068, 7148, -3890), (-146, 193, 53)]
[(-14068, 7148, -3890), (-146, 193, 53)]
[(-14068, 7148, -3890), (-146, 193, 53)]
[(-14068, 7148, -3890), (-146, 193, 53)]
[(-14068, 7148, -3890), (-146, 193, 53)]
[(-14068, 7148, -3890), (-146, 193, 53)]
[(-14075, 7162, -3909), (-127, 232, 27)]
[(-14075, 7162, -3909), (-127, 232, 27)]
[(-14075, 7162, -3909), (-127, 232, 27)]
[(-14075, 7162, -3909), (-127, 232, 27)]
[(-14075, 7162, -3909), (-127, 232, 27)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14075, 7148, -3924), (-122, 234, -1)]
[(-14065, 7183, -3939), (-143, 202, -13)]
[(-14065, 7183, -3939), (-143, 202, -13)]
[(-14065, 7183, -3939), (-143, 202, -13)]
[(-14065, 7183, -3939), (-143, 202, -13)]
[(-14065, 7183, -3939), (-143, 202, -13)]
[(-14092, 7192, -3901), (-104, 138, 6)]
[(-14092, 7192, -3901), (-104, 138, 6)]
[(-14092, 7192, -3901), (-104, 138, 6)]
[(-14092, 7192, -3901), (-104, 138, 6)]
[(-14092, 7192, -3901), (-104, 138, 6)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14068, 7185, -3873), (-115, 155, 9)]
[(-14032, 7176, -3836), (-96, 146, 6)]
[(-14032, 7176, -3836), (-96, 146, 6)]
