[(-15671, 2419, -2926), (-81, 125, 62)]
[(-15653, 2436, -2948), (-67, 126, 12)]
[(-15653, 2436, -2948), (-67, 126, 12)]
[(-15653, 2436, -2948), (-67, 126, 12)]
[(-15653, 2436, -2948), (-67, 126, 12)]
[(-15672, 2426, -2928), (-126, 263, -1)]
[(-15672, 2426, -2928), (-126, 263, -1)]
[(-15672, 2426, -2928), (-126, 263, -1)]
[(-15672, 2426, -2928), (-126, 263, -1)]
[(-15672, 2426, -2928), (-126, 263, -1)]
[(-15672, 2426, -2928), (-126, 263, -1)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15673, 2434, -2940), (-183, 356, 7)]
[(-15697, 2446, -2950), (-182, 311, 20)]
[(-15697, 2446, -2950), (-182, 311, 20)]
[(-15697, 2446, -2950), (-182, 311, 20)]
[(-15697, 2446, -2950), (-182, 311, 20)]
[(-15697, 2446, -2950), (-182, 311, 20)]
[(-15696, 2473, -2933), (-93, 134, 19)]
[(-15696, 2473, -2933), (-93, 134, 19)]
[(-15696, 2473, -2933), (-93, 134, 19)]
[(-15696, 2473, -2933), (-93, 134, 19)]
[(-15696, 2473, -2933), (-93, 134, 19)]
[(-15696, 2473, -2933), (-93, 134, 19)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15690, 2473, -2904), (-89, 79, 2)]
[(-15684, 2522, -2881), (-124, 154, -1)]
[(-15684, 2522, -2881), (-124, 154, -1)]
[(-15684, 2522, -2881), (-124, 154, -1)]
[(-15684, 2522, -2881), (-124, 154, -1)]
[(-15684, 2522, -2881), (-124, 154, -1)]
[(-15684, 2522, -2881), (-124, 154, -1)]
[(-15684, 2496, -2873), (-158, 262, 2)]
[(-15684, 2496, -2873), (-158, 262, 2)]
[(-15684, 2496, -2873), (-158, 262, 2)]
