[(-15755, 2230, -2825), (-59, 165, 65)]
[(-15728, 2251, -2812), (-99, 135, 89)]
[(-15728, 2251, -2812), (-99, 135, 89)]
[(-15728, 2251, -2812), (-99, 135, 89)]
[(-15728, 2251, -2812), (-99, 135, 89)]
[(-15728, 2251, -2812), (-99, 135, 89)]
[(-15723, 2249, -2800), (-116, 185, 82)]
[(-15723, 2249, -2800), (-116, 185, 82)]
[(-15723, 2249, -2800), (-116, 185, 82)]
[(-15723, 2249, -2800), (-116, 185, 82)]
[(-15723, 2249, -2800), (-116, 185, 82)]
[(-15723, 2249, -2800), (-116, 185, 82)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15709, 2236, -2791), (-117, 166, 87)]
[(-15699, 2224, -2762), (-125, 144, 71)]
[(-15699, 2224, -2762), (-125, 144, 71)]
[(-15699, 2224, -2762), (-125, 144, 71)]
[(-15699, 2224, -2762), (-125, 144, 71)]
[(-15699, 2224, -2762), (-125, 144, 71)]
[(-15718, 2244, -2739), (-132, 95, 71)]
[(-15718, 2244, -2739), (-132, 95, 71)]
[(-15718, 2244, -2739), (-132, 95, 71)]
[(-15718, 2244, -2739), (-132, 95, 71)]
[(-15718, 2244, -2739), (-132, 95, 71)]
[(-15718, 2244, -2739), (-132, 95, 71)]
[(-15740, 2248, -2712), (-149, 59, 69)]
[(-15740, 2248, -2712), (-149, 59, 69)]
[(-15740, 2248, -2712), (-149, 59, 69)]
[(-15740, 2248, -2712), (-149, 59, 69)]
[(-15740, 2248, -2712), (-149, 59, 69)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15749, 2244, -2727), (-132, 134, 86)]
[(-15756, 2264, -2720), (-152, 222, 79)]
[(-15756, 2264, -2720), (-152, 222, 79)]
[(-15756, 2264, -2720), (-152, 222, 79)]
[(-15756, 2264, -2720), (-152, 222, 79)]
[(-15756, 2264, -2720), (-152, 222, 79)]
[(-15756, 2264, -2720), (-152, 222, 79)]
[(-15728, 2264, -2759), (-150, 231, 48)]
[(-15728, 2264, -2759), (-150, 231, 48)]
[(-15728, 2264, -2759), (-150, 231, 48)]
[(-15728, 2264, -2759), (-150, 231, 48)]
[(-15728, 2264, -2759), (-150, 231, 48)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15717, 2246, -2765), (-100, 116, 40)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15721, 2261, -2766), (-107, 54, 27)]
[(-15751, 2281, -2757), (-110, 111, -5)]
[(-15751, 2281, -2757), (-110, 111, -5)]
[(-15751, 2281, -2757), (-110, 111, -5)]
[(-15751, 2281, -2757), (-110, 111, -5)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15760, 2277, -2749), (-122, 183, -27)]
[(-15752, 2267, -2749), (-144, 247, -18)]
[(-15752, 2267, -2749), (-144, 247, -18)]
[(-15752, 2267, -2749), (-144, 247, -18)]
[(-15752, 2267, -2749), (-144, 247, -18)]
[(-15752, 2267, -2749), (-144, 247, -18)]
[(-15752, 2267, -2749), (-144, 247, -18)]
[(-15736, 2276, -2766), (-137, 221, 0)]
[(-15736, 2276, -2766), (-137, 221, 0)]
[(-15736, 2276, -2766), (-137, 221, 0)]
[(-15736, 2276, -2766), (-137, 221, 0)]
[(-15736, 2276, -2766), (-137, 221, 0)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15732, 2289, -2768), (-131, 172, 2)]
[(-15720, 2284, -2788), (-113, 99, 24)]
[(-15720, 2284, -2788), (-113, 99, 24)]
[(-15720, 2284, -2788), (-113, 99, 24)]
[(-15720, 2284, -2788), (-113, 99, 24)]
[(-15720, 2284, -2788), (-113, 99, 24)]
[(-15720, 2284, -2788), (-113, 99, 24)]
[(-15711, 2274, -2796), (-102, 118, 4)]
[(-15711, 2274, -2796), (-102, 118, 4)]
[(-15711, 2274, -2796), (-102, 118, 4)]
[(-15711, 2274, -2796), (-102, 118, 4)]
[(-15711, 2274, -2796), (-102, 118, 4)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15702, 2259, -2803), (-133, 151, -14)]
[(-15713, 2236, -2761), (-150, 171, -21)]
[(-15713, 2236, -2761), (-150, 171, -21)]
[(-15713, 2236, -2761), (-150, 171, -21)]
[(-15713, 2236, -2761), (-150, 171, -21)]
[(-15713, 2236, -2761), (-150, 171, -21)]
[(-15713, 2236, -2761), (-150, 171, -21)]
[(-15723, 2237, -2782), (-124, 185, -13)]
[(-15723, 2237, -2782), (-124, 185, -13)]
[(-15723, 2237, -2782), (-124, 185, -13)]
[(-15723, 2237, -2782), (-124, 185, -13)]
[(-15723, 2237, -2782), (-124, 185, -13)]
[(-15720, 2252, -2747), (-87, 191, -19)]
[(-15720, 2252, -2747), (-87, 191, -19)]
[(-15720, 2252, -2747), (-87, 191, -19)]
[(-15720, 2252, -2747), (-87, 191, -19)]
[(-15720, 2252, -2747), (-87, 191, -19)]
[(-15711, 2252, -2746), (-68, 198, -47)]
