[(-15686, 2394, -3072), (-81, 164, 127)]
[(-15697, 2381, -3057), (-100, 197, 129)]
[(-15697, 2381, -3057), (-100, 197, 129)]
[(-15697, 2381, -3057), (-100, 197, 129)]
[(-15697, 2381, -3057), (-100, 197, 129)]
[(-15697, 2381, -3057), (-100, 197, 129)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15677, 2417, -3083), (-119, 217, 113)]
[(-15689, 2424, -3102), (-104, 196, 51)]
[(-15689, 2424, -3102), (-104, 196, 51)]
[(-15689, 2424, -3102), (-104, 196, 51)]
[(-15689, 2424, -3102), (-104, 196, 51)]
[(-15689, 2424, -3102), (-104, 196, 51)]
[(-15689, 2424, -3102), (-104, 196, 51)]
[(-15696, 2436, -3112), (-54, 162, 15)]
[(-15696, 2436, -3112), (-54, 162, 15)]
[(-15696, 2436, -3112), (-54, 162, 15)]
[(-15696, 2436, -3112), (-54, 162, 15)]
[(-15696, 2436, -3112), (-54, 162, 15)]
[(-15697, 2428, -3092), (-98, 156, 11)]
[(-15697, 2428, -3092), (-98, 156, 11)]
[(-15697, 2428, -3092), (-98, 156, 11)]
[(-15697, 2428, -3092), (-98, 156, 11)]
[(-15697, 2428, -3092), (-98, 156, 11)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15676, 2401, -3113), (-156, 168, 31)]
[(-15670, 2400, -3128), (-174, 191, 10)]
[(-15670, 2400, -3128), (-174, 191, 10)]
[(-15670, 2400, -3128), (-174, 191, 10)]
[(-15670, 2400, -3128), (-174, 191, 10)]
[(-15670, 2400, -3128), (-174, 191, 10)]
[(-15662, 2401, -3120), (-167, 213, -12)]
[(-15662, 2401, -3120), (-167, 213, -12)]
[(-15662, 2401, -3120), (-167, 213, -12)]
