[(-15605, 2491, -3275), (-117, 180, -44)]
[(-15609, 2514, -3261), (-111, 195, -68)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15600, 2514, -3283), (-103, 195, -58)]
[(-15607, 2535, -3282), (-105, 171, -49)]
[(-15607, 2535, -3282), (-105, 171, -49)]
[(-15607, 2535, -3282), (-105, 171, -49)]
[(-15607, 2535, -3282), (-105, 171, -49)]
[(-15607, 2535, -3282), (-105, 171, -49)]
[(-15597, 2547, -3284), (-108, 180, -67)]
[(-15597, 2547, -3284), (-108, 180, -67)]
[(-15597, 2547, -3284), (-108, 180, -67)]
[(-15597, 2547, -3284), (-108, 180, -67)]
[(-15597, 2547, -3284), (-108, 180, -67)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15600, 2559, -3240), (-105, 169, -81)]
[(-15620, 2540, -3256), (-95, 153, -65)]
[(-15620, 2540, -3256), (-95, 153, -65)]
[(-15620, 2540, -3256), (-95, 153, -65)]
[(-15620, 2540, -3256), (-95, 153, -65)]
[(-15620, 2540, -3256), (-95, 153, -65)]
[(-15648, 2523, -3244), (-136, 156, -19)]
[(-15648, 2523, -3244), (-136, 156, -19)]
[(-15648, 2523, -3244), (-136, 156, -19)]
[(-15648, 2523, -3244), (-136, 156, -19)]
[(-15648, 2523, -3244), (-136, 156, -19)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15649, 2549, -3243), (-116, 161, 12)]
[(-15652, 2560, -3242), (-116, 201, 6)]
[(-15652, 2560, -3242), (-116, 201, 6)]
[(-15652, 2560, -3242), (-116, 201, 6)]
[(-15652, 2560, -3242), (-116, 201, 6)]
[(-15652, 2560, -3242), (-116, 201, 6)]
[(-15670, 2568, -3257), (-112, 216, 3)]
[(-15670, 2568, -3257), (-112, 216, 3)]
[(-15670, 2568, -3257), (-112, 216, 3)]
[(-15670, 2568, -3257), (-112, 216, 3)]
[(-15670, 2568, -3257), (-112, 216, 3)]
[(-15648, 2552, -3256), (-135, 209, 14)]
[(-15648, 2552, -3256), (-135, 209, 14)]
