[(-15304, -182, -5698), (-304, 281, -1)]
[(-15319, -183, -5676), (-449, 230, 49)]
[(-15319, -183, -5676), (-449, 230, 49)]
[(-15319, -183, -5676), (-449, 230, 49)]
[(-15319, -183, -5676), (-449, 230, 49)]
[(-15319, -183, -5676), (-449, 230, 49)]
[(-15319, -183, -5676), (-449, 230, 49)]
[(-15288, -174, -5648), (-360, 170, 11)]
[(-15288, -174, -5648), (-360, 170, 11)]
[(-15288, -174, -5648), (-360, 170, 11)]
[(-15288, -174, -5648), (-360, 170, 11)]
[(-15288, -174, -5648), (-360, 170, 11)]
[(-15288, -174, -5648), (-360, 170, 11)]
[(-15312, -184, -5660), (-316, 149, -59)]
[(-15312, -184, -5660), (-316, 149, -59)]
[(-15312, -184, -5660), (-316, 149, -59)]
[(-15312, -184, -5660), (-316, 149, -59)]
[(-15312, -184, -5660), (-316, 149, -59)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15336, -157, -5662), (-351, 130, -92)]
[(-15340, -153, -5640), (-361, 156, -48)]
[(-15340, -153, -5640), (-361, 156, -48)]
[(-15340, -153, -5640), (-361, 156, -48)]
[(-15340, -153, -5640), (-361, 156, -48)]
[(-15340, -153, -5640), (-361, 156, -48)]
[(-15340, -153, -5640), (-361, 156, -48)]
[(-15324, -180, -5608), (-363, 154, -70)]
[(-15324, -180, -5608), (-363, 154, -70)]
[(-15324, -180, -5608), (-363, 154, -70)]
[(-15324, -180, -5608), (-363, 154, -70)]
[(-15324, -180, -5608), (-363, 154, -70)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15306, -163, -5594), (-320, 149, -75)]
[(-15314, -167, -5573), (-266, 136, -36)]
[(-15314, -167, -5573), (-266, 136, -36)]
[(-15314, -167, -5573), (-266, 136, -36)]
[(-15314, -167, -5573), (-266, 136, -36)]
[(-15314, -167, -5573), (-266, 136, -36)]
[(-15314, -167, -5573), (-266, 136, -36)]
[(-15361, -147, -5565), (-209, 133, 30)]
[(-15361, -147, -5565), (-209, 133, 30)]
[(-15361, -147, -5565), (-209, 133, 30)]
[(-15361, -147, -5565), (-209, 133, 30)]
[(-15361, -147, -5565), (-209, 133, 30)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15395, -125, -5542), (-201, 132, -8)]
[(-15407, -124, -5539), (-187, 114, -28)]
[(-15407, -124, -5539), (-187, 114, -28)]
[(-15407, -124, -5539), (-187, 114, -28)]
[(-15407, -124, -5539), (-187, 114, -28)]
[(-15407, -124, -5539), (-187, 114, -28)]
[(-15407, -124, -5539), (-187, 114, -28)]
[(-15412, -111, -5532), (-164, 88, 73)]
[(-15412, -111, -5532), (-164, 88, 73)]
[(-15412, -111, -5532), (-164, 88, 73)]
[(-15412, -111, -5532), (-164, 88, 73)]
[(-15412, -111, -5532), (-164, 88, 73)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15420, -141, -5505), (-142, 94, 62)]
[(-15456, -138, -5472), (-140, 114, 51)]
[(-15456, -138, -5472), (-140, 114, 51)]
[(-15456, -138, -5472), (-140, 114, 51)]
[(-15456, -138, -5472), (-140, 114, 51)]
[(-15456, -138, -5472), (-140, 114, 51)]
[(-15456, -138, -5472), (-140, 114, 51)]
[(-15453, -129, -5440), (-144, 115, 22)]
[(-15453, -129, -5440), (-144, 115, 22)]
[(-15453, -129, -5440), (-144, 115, 22)]
[(-15453, -129, -5440), (-144, 115, 22)]
[(-15453, -129, -5440), (-144, 115, 22)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15459, -80, -5411), (-164, 159, 34)]
[(-15451, -72, -5397), (-178, 154, 1)]
[(-15451, -72, -5397), (-178, 154, 1)]
[(-15451, -72, -5397), (-178, 154, 1)]
[(-15451, -72, -5397), (-178, 154, 1)]
[(-15451, -72, -5397), (-178, 154, 1)]
[(-15451, -72, -5397), (-178, 154, 1)]
[(-15450, -56, -5376), (-161, 154, 0)]
[(-15450, -56, -5376), (-161, 154, 0)]
[(-15450, -56, -5376), (-161, 154, 0)]
[(-15450, -56, -5376), (-161, 154, 0)]
[(-15450, -56, -5376), (-161, 154, 0)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15464, -23, -5396), (-173, 176, 95)]
[(-15477, -4, -5428), (-186, 199, 95)]
[(-15477, -4, -5428), (-186, 199, 95)]
[(-15477, -4, -5428), (-186, 199, 95)]
[(-15477, -4, -5428), (-186, 199, 95)]
[(-15477, -4, -5428), (-186, 199, 95)]
[(-15477, -4, -5428), (-186, 199, 95)]
[(-15528, 0, -5434), (-133, 239, 184)]
[(-15528, 0, -5434), (-133, 239, 184)]
[(-15528, 0, -5434), (-133, 239, 184)]
[(-15528, 0, -5434), (-133, 239, 184)]
[(-15528, 0, -5434), (-133, 239, 184)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15542, 45, -5454), (-193, 292, 157)]
[(-15493, 72, -5496), (-161, 225, 132)]
[(-15493, 72, -5496), (-161, 225, 132)]
[(-15493, 72, -5496), (-161, 225, 132)]
[(-15493, 72, -5496), (-161, 225, 132)]
[(-15493, 72, -5496), (-161, 225, 132)]
[(-15493, 72, -5496), (-161, 225, 132)]
[(-15457, 53, -5499), (-169, 247, 184)]
[(-15457, 53, -5499), (-169, 247, 184)]
[(-15457, 53, -5499), (-169, 247, 184)]
[(-15457, 53, -5499), (-169, 247, 184)]
[(-15457, 53, -5499), (-169, 247, 184)]
[(-15431, 87, -5512), (-154, 225, 155)]
[(-15431, 87, -5512), (-154, 225, 155)]
[(-15431, 87, -5512), (-154, 225, 155)]
[(-15431, 87, -5512), (-154, 225, 155)]
[(-15431, 87, -5512), (-154, 225, 155)]
[(-15431, 87, -5512), (-154, 225, 155)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15384, 118, -5538), (-183, 230, 82)]
[(-15324, 87, -5562), (-207, 276, 41)]
[(-15324, 87, -5562), (-207, 276, 41)]
[(-15324, 87, -5562), (-207, 276, 41)]
[(-15324, 87, -5562), (-207, 276, 41)]
[(-15324, 87, -5562), (-207, 276, 41)]
[(-15304, 91, -5560), (-194, 274, 31)]
[(-15304, 91, -5560), (-194, 274, 31)]
[(-15304, 91, -5560), (-194, 274, 31)]
[(-15304, 91, -5560), (-194, 274, 31)]
[(-15304, 91, -5560), (-194, 274, 31)]
[(-15304, 91, -5560), (-194, 274, 31)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15292, 88, -5573), (-161, 273, 61)]
[(-15295, 116, -5592), (-141, 246, 9)]
[(-15295, 116, -5592), (-141, 246, 9)]
[(-15295, 116, -5592), (-141, 246, 9)]
[(-15295, 116, -5592), (-141, 246, 9)]
[(-15295, 116, -5592), (-141, 246, 9)]
[(-15295, 99, -5602), (-133, 241, 20)]
[(-15295, 99, -5602), (-133, 241, 20)]
[(-15295, 99, -5602), (-133, 241, 20)]
[(-15295, 99, -5602), (-133, 241, 20)]
[(-15295, 99, -5602), (-133, 241, 20)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15314, 111, -5579), (-129, 207, 23)]
[(-15298, 62, -5544), (-239, 204, 187)]
[(-15298, 62, -5544), (-239, 204, 187)]
[(-15298, 62, -5544), (-239, 204, 187)]
[(-15298, 62, -5544), (-239, 204, 187)]
[(-15298, 62, -5544), (-239, 204, 187)]
[(-15252, 72, -5608), (-454, 276, 244)]
[(-15252, 72, -5608), (-454, 276, 244)]
[(-15252, 72, -5608), (-454, 276, 244)]
[(-15252, 72, -5608), (-454, 276, 244)]
[(-15252, 72, -5608), (-454, 276, 244)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15292, -563, -4120), (-433, 721, -108)]
[(-15361, -269, -4376), (-965, 413, 295)]
[(-15361, -269, -4376), (-965, 413, 295)]
[(-15361, -269, -4376), (-965, 413, 295)]
[(-15361, -269, -4376), (-965, 413, 295)]
[(-15361, -269, -4376), (-965, 413, 295)]
