[(-15369, 1378, -5062), (-3, 128, 55)]
[(-15395, 1431, -5132), (-36, 226, 152)]
[(-15395, 1431, -5132), (-36, 226, 152)]
[(-15399, 1464, -5136), (-38, 171, 61)]
[(-15399, 1464, -5136), (-38, 171, 61)]
[(-15399, 1464, -5136), (-38, 171, 61)]
[(-15399, 1464, -5136), (-38, 171, 61)]
[(-15399, 1464, -5136), (-38, 171, 61)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15381, 1460, -5112), (-59, 141, -19)]
[(-15394, 1477, -5098), (-93, 186, 75)]
[(-15394, 1477, -5098), (-93, 186, 75)]
[(-15394, 1477, -5098), (-93, 186, 75)]
[(-15394, 1477, -5098), (-93, 186, 75)]
[(-15394, 1477, -5098), (-93, 186, 75)]
[(-15410, 1492, -5159), (-78, 183, 15)]
[(-15410, 1492, -5159), (-78, 183, 15)]
[(-15410, 1492, -5159), (-78, 183, 15)]
[(-15410, 1492, -5159), (-78, 183, 15)]
[(-15410, 1492, -5159), (-78, 183, 15)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15428, 1497, -5138), (-146, 148, -99)]
[(-15415, 1486, -5104), (-185, 90, -156)]
[(-15415, 1486, -5104), (-185, 90, -156)]
[(-15415, 1486, -5104), (-185, 90, -156)]
[(-15395, 1518, -5088), (-112, 140, 23)]
[(-15395, 1518, -5088), (-112, 140, 23)]
[(-15395, 1518, -5088), (-112, 140, 23)]
[(-15395, 1518, -5088), (-112, 140, 23)]
[(-15395, 1518, -5088), (-112, 140, 23)]
[(-15395, 1518, -5088), (-112, 140, 23)]
[(-15388, 1563, -5091), (-94, 204, 69)]
[(-15388, 1563, -5091), (-94, 204, 69)]
[(-15388, 1563, -5091), (-94, 204, 69)]
[(-15388, 1563, -5091), (-94, 204, 69)]
[(-15388, 1563, -5091), (-94, 204, 69)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15366, 1562, -5115), (-45, 103, -79)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15350, 1550, -5077), (-51, 129, -111)]
[(-15372, 1571, -5069), (-60, 248, -21)]
[(-15372, 1571, -5069), (-60, 248, -21)]
[(-15372, 1571, -5069), (-60, 248, -21)]
[(-15372, 1571, -5069), (-60, 248, -21)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15404, 1576, -5076), (-27, 263, 57)]
[(-15385, 1567, -5048), (-56, 213, -3)]
[(-15385, 1567, -5048), (-56, 213, -3)]
[(-15385, 1567, -5048), (-56, 213, -3)]
[(-15385, 1567, -5048), (-56, 213, -3)]
[(-15364, 1562, -5008), (-81, 215, 39)]
[(-15364, 1562, -5008), (-81, 215, 39)]
[(-15364, 1562, -5008), (-81, 215, 39)]
[(-15364, 1562, -5008), (-81, 215, 39)]
[(-15364, 1562, -5008), (-81, 215, 39)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15351, 1556, -5000), (-51, 237, 70)]
[(-15376, 1572, -5032), (-19, 196, 93)]
[(-15376, 1572, -5032), (-19, 196, 93)]
[(-15376, 1572, -5032), (-19, 196, 93)]
[(-15376, 1572, -5032), (-19, 196, 93)]
[(-15376, 1572, -5032), (-19, 196, 93)]
[(-15376, 1572, -5032), (-19, 196, 93)]
[(-15392, 1567, -5028), (-80, 214, 110)]
[(-15392, 1567, -5028), (-80, 214, 110)]
[(-15392, 1567, -5028), (-80, 214, 110)]
[(-15392, 1567, -5028), (-80, 214, 110)]
[(-15392, 1567, -5028), (-80, 214, 110)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15393, 1551, -5042), (-27, 196, 106)]
[(-15428, 1572, -5063), (42, 206, 123)]
[(-15428, 1572, -5063), (42, 206, 123)]
[(-15428, 1572, -5063), (42, 206, 123)]
[(-15428, 1572, -5063), (42, 206, 123)]
[(-15428, 1572, -5063), (42, 206, 123)]
[(-15434, 1586, -5038), (9, 204, 128)]
[(-15434, 1586, -5038), (9, 204, 128)]
[(-15434, 1586, -5038), (9, 204, 128)]
[(-15434, 1586, -5038), (9, 204, 128)]
[(-15434, 1586, -5038), (9, 204, 128)]
[(-15434, 1586, -5038), (9, 204, 128)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15408, 1614, -5059), (-4, 219, 191)]
[(-15394, 1588, -5058), (-256, 278, -12)]
[(-15394, 1588, -5058), (-256, 278, -12)]
[(-15394, 1588, -5058), (-256, 278, -12)]
[(-15389, 1539, -5064), (-497, 213, -296)]
[(-15389, 1539, -5064), (-497, 213, -296)]
[(-15389, 1539, -5064), (-497, 213, -296)]
[(-15389, 1539, -5064), (-497, 213, -296)]
[(-15389, 1539, -5064), (-497, 213, -296)]
