[(-15248, 1846, -5524), (5, 188, 107)]
[(-15247, 1874, -5504), (-110, 200, -38)]
[(-15247, 1874, -5504), (-110, 200, -38)]
[(-15247, 1874, -5504), (-110, 200, -38)]
[(-15188, 1853, -5468), (-4, 117, -7)]
[(-15188, 1853, -5468), (-4, 117, -7)]
[(-15188, 1853, -5468), (-4, 117, -7)]
[(-15188, 1853, -5468), (-4, 117, -7)]
[(-15188, 1853, -5468), (-4, 117, -7)]
[(-15188, 1853, -5468), (-4, 117, -7)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15258, 1906, -5441), (-19, 141, 68)]
[(-15225, 1913, -5429), (-112, 156, 1)]
[(-15225, 1913, -5429), (-112, 156, 1)]
[(-15225, 1913, -5429), (-112, 156, 1)]
[(-15225, 1913, -5429), (-112, 156, 1)]
[(-15225, 1913, -5429), (-112, 156, 1)]
[(-15225, 1913, -5429), (-112, 156, 1)]
[(-15232, 1952, -5424), (-71, 160, 134)]
[(-15232, 1952, -5424), (-71, 160, 134)]
[(-15232, 1952, -5424), (-71, 160, 134)]
[(-15232, 1952, -5424), (-71, 160, 134)]
[(-15232, 1952, -5424), (-71, 160, 134)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15268, 1996, -5456), (-6, 142, 148)]
[(-15290, 2040, -5463), (49, 138, 220)]
[(-15290, 2040, -5463), (49, 138, 220)]
[(-15290, 2040, -5463), (49, 138, 220)]
[(-15290, 2040, -5463), (49, 138, 220)]
[(-15290, 2040, -5463), (49, 138, 220)]
[(-15290, 2040, -5463), (49, 138, 220)]
[(-15312, 2052, -5449), (-18, 127, 184)]
[(-15312, 2052, -5449), (-18, 127, 184)]
[(-15312, 2052, -5449), (-18, 127, 184)]
[(-15312, 2052, -5449), (-18, 127, 184)]
[(-15312, 2052, -5449), (-18, 127, 184)]
[(-15291, 2032, -5432), (-105, 169, 154)]
[(-15291, 2032, -5432), (-105, 169, 154)]
[(-15291, 2032, -5432), (-105, 169, 154)]
[(-15291, 2032, -5432), (-105, 169, 154)]
[(-15291, 2032, -5432), (-105, 169, 154)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15289, 2016, -5386), (-76, 182, 169)]
[(-15319, 2031, -5396), (-96, 190, 102)]
[(-15319, 2031, -5396), (-96, 190, 102)]
[(-15319, 2031, -5396), (-96, 190, 102)]
[(-15319, 2031, -5396), (-96, 190, 102)]
[(-15319, 2031, -5396), (-96, 190, 102)]
[(-15284, 2033, -5405), (-143, 240, 79)]
[(-15284, 2033, -5405), (-143, 240, 79)]
[(-15284, 2033, -5405), (-143, 240, 79)]
[(-15284, 2033, -5405), (-143, 240, 79)]
[(-15284, 2033, -5405), (-143, 240, 79)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15320, 2042, -5404), (-254, 277, 53)]
[(-15359, 2090, -5411), (-296, 228, -16)]
[(-15359, 2090, -5411), (-296, 228, -16)]
[(-15359, 2090, -5411), (-296, 228, -16)]
[(-15359, 2090, -5411), (-296, 228, -16)]
[(-15359, 2090, -5411), (-296, 228, -16)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15336, 2100, -5442), (-282, 221, -4)]
[(-15324, 2075, -5448), (-242, 214, 6)]
[(-15324, 2075, -5448), (-242, 214, 6)]
[(-15324, 2075, -5448), (-242, 214, 6)]
[(-15324, 2075, -5448), (-242, 214, 6)]
[(-15324, 2075, -5448), (-242, 214, 6)]
[(-15324, 2075, -5448), (-242, 214, 6)]
[(-15312, 2048, -5419), (-275, 293, -37)]
[(-15312, 2048, -5419), (-275, 293, -37)]
[(-15312, 2048, -5419), (-275, 293, -37)]
[(-15312, 2048, -5419), (-275, 293, -37)]
[(-15312, 2048, -5419), (-275, 293, -37)]
[(-15268, 2050, -5380), (-273, 321, 44)]
[(-15268, 2050, -5380), (-273, 321, 44)]
[(-15268, 2050, -5380), (-273, 321, 44)]
[(-15268, 2050, -5380), (-273, 321, 44)]
[(-15268, 2050, -5380), (-273, 321, 44)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15288, 2052, -5407), (-227, 291, 42)]
[(-15286, 2080, -5422), (-236, 262, -8)]
[(-15286, 2080, -5422), (-236, 262, -8)]
[(-15286, 2080, -5422), (-236, 262, -8)]
[(-15286, 2080, -5422), (-236, 262, -8)]
[(-15286, 2080, -5422), (-236, 262, -8)]
[(-15286, 2080, -5422), (-236, 262, -8)]
[(-15285, 2059, -5424), (-232, 227, -83)]
[(-15285, 2059, -5424), (-232, 227, -83)]
[(-15285, 2059, -5424), (-232, 227, -83)]
[(-15285, 2059, -5424), (-232, 227, -83)]
[(-15285, 2059, -5424), (-232, 227, -83)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15266, 2072, -5393), (-218, 201, -105)]
[(-15288, 2088, -5420), (-284, 209, -90)]
[(-15288, 2088, -5420), (-284, 209, -90)]
[(-15288, 2088, -5420), (-284, 209, -90)]
[(-15288, 2088, -5420), (-284, 209, -90)]
[(-15293, 2074, -5428), (-318, 174, -170)]
[(-15293, 2074, -5428), (-318, 174, -170)]
[(-15293, 2074, -5428), (-318, 174, -170)]
[(-15293, 2074, -5428), (-318, 174, -170)]
[(-15293, 2074, -5428), (-318, 174, -170)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15294, 2061, -5424), (-328, 166, -152)]
[(-15275, 2043, -5449), (-258, 186, -125)]
[(-15275, 2043, -5449), (-258, 186, -125)]
[(-15275, 2043, -5449), (-258, 186, -125)]
[(-15275, 2043, -5449), (-258, 186, -125)]
[(-15275, 2043, -5449), (-258, 186, -125)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15281, 1999, -5427), (-145, 222, -48)]
[(-15288, 1990, -5408), (-190, 218, -85)]
[(-15288, 1990, -5408), (-190, 218, -85)]
[(-15288, 1990, -5408), (-190, 218, -85)]
[(-15288, 1990, -5408), (-190, 218, -85)]
[(-15288, 1990, -5408), (-190, 218, -85)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15275, 1998, -5427), (-253, 168, -111)]
[(-15230, 1934, -5396), (-330, -36, -458)]
[(-15230, 1934, -5396), (-330, -36, -458)]
[(-15230, 1934, -5396), (-330, -36, -458)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
[(-16465, 1096, -4800), (5305, -1959, -242)]
